,title,date,content
13,"망막박리 증상과 수술 (섬광, 부유물, 시야결손)",어제,"수술은 망막 아래 배액이나 열공, 박리가 진행되는 것을 예방하기 위해서 즉시 수술하게 됩니다. 망막박리 수술을 받은 경우 안압 상승을 시킬 우려가 있는 행동은 금하는 것이 좋으므로 절대 안정이나 휴식 상태로 머리를..."
14,망막박리 잘 아시는분요,7일 전,--------------------------------------------------------- 부모님이 망막박리 의심되는데 동네병원가니 검사장비도 없다네요 단순 비문증이면 좋을텐데.. 검사해보고 레이저. 수술도 가능한곳 어느 병원이 괜찮을까요? 큰종합병원이면...
15,망막찢어짐 망막박리 원인 증상 예방법,4일 전,망막찢어짐 망막박리 원인 증상 예방법 망막은 우리의 눈에서도 가장 안쪽에 위치하는 기관입니다. 투명한 막의 형태를 가지고 있는데 이곳은 시각 정보를 받아서 뇌로 전달하고 빛을 감지하는 아주 중요한 역할을 하는...
16,망막박리치료방법 조기에 개선하는 것이 중요!,6일 전,망막박리는 말 그대로 안구 내벽에 붙어있어야 할 망막이 박리되어 떨어져 나온 질환을 말합니다. 쉽게 말해 벽지에 물을 스며들거나 곰팡이가 생기면서 벽에서부터 들뜨게 되는 현상과 유사하다고 할 수 있는데요. 망막은...
17,망막 일부가 떨어지는 망막박리 질환에 대해,4일 전,망막 일부가 떨어지는 망막박리 질환에 대해 자고 일어난 후 눈을 떴을 때 혹시나 초점이 바로 맞춰지지 않아 흐릿하게 보인 적이 있나요? 물론 시간이 점점 지나면 정상적으로 돌아오게 되지만 이러한 문제가 계속...
18,14살 망막박리수술 병원 좀..급해요~ㅜ,2021.08.12.,아이가 전체망막박리 진단 받았어요 빨리 수술해야 되는데 병원 추천해주세요 부산경남이면 좋겠어요 급합니다.ㅜ
19,"당뇨병 합병증, 당뇨망막병증(+망막부종 망막출혈 망막박리) 증상(시력저하 실명), 레이저광응고술 + 시청음...",2021.06.22.,"당뇨망막병증은 시력저하, 심하면 실명을 유발할 수 있으며, 망막부종, 망막출혈, 망막박리를 동반하기도 합니다. 그리고 한약 치료에 대한 임상 보고(중의학 논문)가 있어 함께 소개합니다. 당뇨병과 당뇨망막병증..."
20,"망막열공, 망막박리 증상 (시야에 검은 실, 시야결손 등)",13시간 전,"망막박리종류 ▶열공성망막박리 : 망막의 파열 부위를 통해 유리체가 망막 아래로 들어가 박리가 나타납니다. 이 때 망막이 당겨지며 망막에 찢어진 구멍이 발생할 수 있는데요, 이후 액화된 유리체가 망막열공부위를 통해..."
21,망막박리 검사 안질환 예방하세요,4일 전,망막열공이 지속되면 망막이 찢어진 부분을 통해서 망막아래로 액체가 고여 망막박리가 발생합니다. 망막열공이 박리로 진행되면 시야가 점차 가려지면서 눈앞에 커튼이 가려진 듯 어두워진 증상이 나타납니다. 더...
22,망막박리증상 초기 알아채는 방법,2021.05.19.,하는데요 망막이 안고 자게 해서 떨어져 있기 때문에 영양공급을 받지 않고 그래서 영구적인 실명이 이렇게 되기 때문에 조심해야 한다고 합니다 20대에서는 고도근시가 망막박리에 원인이 된다고 하네요 비문증 비문증은...
23,안녕하세요 내일 망막박리 수술예정입니다,2021.08.12.,외상으로 인한 열공으로 위쪽 망막박리가 생겨 내일 수술을 하기로 했는데 김안과 ㅇㅅㅈ교수님한테 받기로 했습니다 근데 제가 원래 시신경이 좀 약해서 공막돌륭술과 유리체절제술 두개를 다 수술해야한다고 합니다...
24,타렉스 편광렌즈 망막박리 수술후 빛번짐 눈부심 완화 안경! 부산,2020.12.03.,타렉스 편광렌즈 망막박리 수술후 빛번짐 눈부심 완화 안경! 부산 50대 변호사님께서 몇년전 망막박리 수술을 받으셨는데 운동하실때 특히 햇볕에 눈부심과 빛번짐의 불편증상이 많이 느껴지시는 불편함이 있으셔서...
25,"망막 박리 증상 : 망막 열공, 비문증 원인 비문증 증상 치료 (날파리증)",2021.08.09.,"망막 박막 망막박리는 생소한 눈병이지만, 놀랍게도 많은 사람들이 망막박리 때문에 수술을 받기도 합니다.... 망막박리는 자연치유가 드물어 수술을 통해 치료가 이루어집니다. 열공이 발생했지만 박리가 진행되지 않으면..."
26,"젊어도 방심은 금물! 망막이 들뜨는 망막박리 - 비문증, 광시증 있다면 의심해보세요!",2020.10.13.,망막박리 치료방법은 수술뿐인가요? 망막의 박리가 국소적이며 망막의 중심부인 황반부가 침범하지 않은 경우에는 레이저 치료를 통해서도 해결될 수 있습니다. 하지만 망막박리가 광범위하며 황반부의 침범한 경우는...
27,평택안과 망막박리 실명 주의하세요,2021.07.28.,"통해서 망막박리가 발생할 위험이나 주변부 망막에 이상은 없는지 정기적으로 확인하는 것이 필요합니다. 50세 미만의 비교적 젊은 망막박리 환자들을 보면 통계적으로 고도근시 비율이 50~60%이며, 근시 비율은 거의 90%에..."
28,망막박리랑 시력저하랑 관련 있나요?,2021.08.16.,변화 없다고 그러던데 최근에 갑자기 오른쪽 눈 시력이 뚝 떨어져서요;; 진짜 체감될정도로 뚝 떨어졌는데 한달 전 정기검진에서는 더 진행된건 없다고 했거든요 당근을 많이 먹어야 될까요? 망막박리오면 시력도 떨어지나요?
29,실명 원인 눈질환 망막박리 원인과 망막박리 증상,2021.06.07.,"열공(구멍)은 발생하였으나 아직 박리가 진행되지 않았다면 레이저시술로도 치료 가능하다고 해요. 하지만 망막박리가 진행되었다면 유리체절제술, 공막동륭술 등 망막을 다시 붙이기 위한 수술이 진행된다고 합니다...."
30,망막박리검사 즉각적인 대응 중요해요,2021.05.03.,"두번째로는 망막박리가 발생함으로써 나타나는 증상으로, 망막의 박리가 확대시 시야가 커튼이나 그림자 혹은 검은 구름 등이 가리는 것처럼 표현되며, 이가 황반부를 침범시 시력 저하 혹은 시야가 변형되어 보이는..."
31,"망막박리 공막돌륭술 2차 수술 3,4주 후기",2021.08.20.,레이저를 안 해도 될 정도로 망막이 괜찮은 상태라서 2달 후에 보자고 하셨습니다...(?) 정말 그 정도로 좋은 건가..? 싶었지만 망막박리 전문가이신데 뭐..맞겠죠. 그래도 재박리가 되었다는 글을 봐서 괜한 걱정이 ㅠㅠ.....
32,[노원 퍼스트성모안과] 방치하면 위험한 다양한 망막질환 소개 (황반변성/당뇨망막병증/망막박리),5시간 전,"망막이 안구 내벽으로 부터 일부 또는 전부 떨어지게 되는 질환으로, 오래 방치 시 대부분 실명하게 되며 응급 수술을 통하여 박리된 망막을 붙여야 시력을 호전시킬 수 있습니다. 망막박리 시작 전 비문증 또는 광시증을..."
33,눈앞에 빛이 번쩍하는 섬광증이 망막박리 증상?,5일 전,"이 구멍을 통해서 유리체액이 망막으로 들어오고 안구 내벽으로부터 망막을 박리시킵니다. 당뇨병에 의해 망막에 반흔이 생겨서 발생할 수 있습니다. 또한 열공이 없이도 망막박리가 나타날 수 있는데, 외상이나 염증 또는..."
34,"망막박리 증상, 비문증 증상, 치료, 원인 : 망막열공, 날파리증, 광시증",2021.08.08.,"이외에 견인막의 수축으로 인해 망막이 떨어지게 되는 망막박리, 망막과 맥락막의 염증으로 인해 삼출물이 고여서 망막이 떨어지게 되는 삼출 망막 박리 등이 있습니다. 망막 박리는 근시가 심한 사람, 망막 이상의..."
35,망막박리 레이저 치료 가능한가요?,2020.10.23.,망막박리가 일어났다면? 지금까지 망막에 구멍이 난 상태 혹은 박리 정도가 작은 상태에 레이저 치료가 가능하다고 말씀드렸는데요. 만약 위 단계에서 더 진행하여 어느 정도 박리가 일어난 상태라면 레이저로 치료할 수...
36,"망막 박리, 단안 백내장 수술 후 이종 부등시 짝눈 안경으로 노안 해결...ㄴㅇㄷㅇ",2021.02.08.,"망막 박리, 단안 백내장 수술 후 이종 부등시 짝눈 안경으로 노안 해결. 어느 정도 시력 차이 나는 짝눈까지 안경 착용이 가능할까요? #짝눈 #이종부등시 #부동시 #부등시 오른쪽 망막박리 수술을 두 번 받았습니다...."
37,망막박리수술 병원 추천 부탁드립니다,2021.07.03.,딸아이가 갑작스럽게 망막박리 진단을 받고 급하게 영등포 김안과에서 진료를 받았는데 많이 심각한 상태라 수술후를 시력회복이 어려울 수 있다고 하시는데 다른 병원 진료도 받아보고 결정하려구요 대학병원이나...
38,당뇨망막증 유리체 출혈 견인망막박리 수술 [Proliferative diabetic retinopathy Tractional...,2021.06.29.,당뇨망막증 유리체 출혈 견인망막박리 수술 장면 및 방법 결막절개 (Peritomy) - 0:00:03 ~ 0:00:14 공막 (Scleral) Suture - 0:00:15 ~ 0:00:41 수정체 제거 (phacoemulsificatoin) - 0:00:42 ~ 0:00:50 유리체...
39,망막박리&망막열공 레이저치료까지,2021.05.22.,상세불명의 망막의 이단이 있는 망막박리 별생각 없다가 인터넷을 찾아보고 나서야 심각한 거구나 했다. 다른 사람들은 응급실에 찾아가거나 했다는데 나는 응급실을 갈 정도로 심각하진 않았던 걸까? 다음날 엄마와 함께...
40,망막박리수술 고려하고 있다면,2021.05.06.,"망막박리란 눈의 내벽으로부터 망막이 떨어져 나가는 질환으로, 망막이 찢어지면서 들뜬 부분이 생기면... 망막박리의 범위가 더 광범위해진다면 그 기능을 회복하기 힘든 경우가 많으며, 박리된 기간이 길면 길수록 재유착..."
41,"망막박리 증상 :: 망막출혈,열공",2021.08.17.,장액성은 맥락막쪽에서 망막색소상피를 통해서 장액이 유입이 되면서 나타납니다. 망막박리 증상 망막박리 종류에 따라서 증상도 달라지게 됩니다. 열공성 같은 경우는 후유리체박리나 유리체출혈 등의 증상이 생길 수...
42,망막열공 망막박리 - 라식 라섹 하기전에 안과보험으로 진단비와 수술비 준비하세요.,2021.08.20.,Previous image Next image Previous image Next image 다른 안과질환 진단비도 있지만 그중 가장 흔하게 진단 받을 수있는 것이 망막박리와 망막열공 황반변성이라고 볼수 있죠. 위 내용으로 진단받았을때 가입금액만큼 진단비를 받을...
43,망막박리 수술후~~~,2021.08.18.,●정상 망막의 구조● ●망막찍어진상태● ◈망막박리 질환 내용◈ 망막 박리는 망막이 안구 내벽으로 부터... 중심 망막(황반부위)이 잘 유착되어 있고 주변부 부터 서서히 망망 박리가 지속되는 경우에는 증상을 느끼지...
44,[건강과웰빙 웰리스] 50세 이후에 오는 몸의 건강신호 증상 골절 망막박리 신장결석 통풍 심장마비 뇌졸증...,2021.02.12.,"검은 얼룩과 섬광이 보이는 증상- 망막박리 눈의 망막은 민감한 막으로, 우리가 눈으로 보는 것을 뇌에 전달해주는 기관입니다. 망막이 눈의 바깥 벽에서 분리되는 현상을 망막박리라고 하는데, 이렇게 되면 망막에 필요한..."
45,방치해서는 안 되는 망막박리 증상,2021.08.05.,"다양한 유형 열공 망막박리 망막의 일부가 찢어지거나 구멍이 생겨 그 공간으로 액체가 유입되어 발생하는 유형 견인 망막박리 당뇨망막병증, 고혈압, 포도막염 등의 질환이 원인이 되어 나타나는 유형 심출 망막박리..."
46,"망막박리 : 증상, 치료 및 예방",2021.06.09.,- 다른 눈의 망막 파열 또는 박리 병력. 망막박리의 위험이 높은 경우 의사와 상담하십시오. 제공자는 눈 검사를 설정하고 눈 건강을 보호하기 위한 다른 조치를 제안할 수 있습니다. 망막박리는 얼마나 흔한가요? 여기에...
47,망막에 구멍이 생긴 상태인 망막 박리의 원인은?,6일 전,오늘 알아볼 질환은 망막 박리로 망막에 구멍이 생긴 상태를 칭하는 질환인데요. 시력 저하로 이어질 확률이 높으며 생활에서 많은 불편함을 유발할 수 있습니다. 안구에서 망막의 역할은? 안구의 가장 안쪽에 있는 망막은...
48,망막박리 치료기록,2021.08.12.,올해 봄 망막박리 진단을 받고 수술 후 회복중이므로 경험을 공유해봅니다. 망막박리는 증상이 드러나기... 망막을 박리시킨 물이 빠져야 하는데 나는 만성이라 두달째에도 물이 다 안 빠졌음. 12. 일상생활에는 문제 없으나...
49,망막박리로 양안 수술과 경과 후기,3일 전,"세브란스에서 정밀 진단결과 양안에 망막박리 현상이 다 있는데, 좌안의 경우는 망막 하부에 박리현상이 있어서 크게 증상이 나타나지 않은 만성이고 좌안은 망막 상부에 박리현상이 있어 중력의 영향으로 망막이 쳐져서..."
50,「망막박리(detachment of the retina / retinal detachment)」 뜻(의미)/소개(정의),2020.07.03.,"""망막박리""를 뜻하는 영어표현(detachment of the retina)에서도 드러나듯이, ""망막박리""란, 간단히 말해서, 안구(eyeball)에서 망막(retina)이 떨어져 나가는 것(detachment)을 말합니다. 그러니까, 안구의 망막..."
51,망막박리,2021.05.30.,"망막도 마찬가지이다. ) '망막박리'는 처음 들어보는 질병이었다. 박리라는 말 그대로 망막이 떨어져 버린 것이다. 내 경우는 망막이 떨어지면서 망막에 구멍이 생겼고, 그 구멍을 통해 물이 차있는 상태라고 했다. 그 상태가..."
52,실명 위험 초래 '망막박리' 주의하세요!,2021.07.10.,"먼저, 망막열공 주변으로 망막박리 범위가 확대됨에 따라 눈의 주변이 마치 어두운 커튼이 쳐진 것처럼... 망막박리의 치료는 환자의 현재 상태에 따라 다르게 적용되긴 하지만, 박리가 진행된 범위가 좁은 환자분들의 경우..."
53,[서울퍼시픽안과의원_조준희원장 의학칼럼] 고도근시라면 망막박리 주의해야...,2021.08.15.,[서울퍼시픽안과의원_조준희원장 의학칼럼] 고도근시라면 망막박리 주의해야... 서울퍼시픽안과의원... 망막에 박리현상이 일어나면 시야에 결손이 발생하기 쉽기 때문에 시야결손 부위도 늘어날 수 있어 빠른 치료가...
54,파주안과 망막이떨어져나가는 망막박리,5일 전,"망막박리는 망막층이 찢어져서 눈 속의 수분이 새어들어가면서 망막이 안구 내벽으로 떨어지는 현상인데요. 망막박리가 발생하면 떨어진 망막으로 인해 시야의 결손이 생기고, 점차 악화되어서 시야가 점점 좁아지다가..."
55,고도근시 망막박리_고도근시 선글라스,2021.08.02.,고객님은 망막박리가 꽤 진행된 상태였으며 유리체절제술을 이용해 박리된 망막은 다시 붙이는 수술을 진행했습니다. *유리체절제술은 망막 관련 치료에서 아주 다양하게 사용되는 술법이며 다음 시간에...
56,망막 박리 [ 송탄성모안과 / 서정성모안과 ],4일 전,"정상 망막 망막 박리 망막박리(안구 내벽에 부착되어 있어야하는 망막이 떨어지고 들뜨게 되는 상태)를 방치 하게 되면 안구 위축, 실명으로 연결 될 수 있기 때문에 증상을 인지하고 빠르게 대처하는 것이 중요합니다...."
57,"실명질환 '망막박리', 젊은 층도 주의! (#비문증 #고도근시)",2021.08.13.,‘망막박리’는 망막이 안구 내벽으로부터 떨어져 들뜨게 되는 질환인데요. 치료하지 않고 방치될 경우 영구적인 망막 위축 및 실명에 이를 수 있어 조기 발견과 치료가 매우 중요합니다. 망막박리의 대표적인 발병 요인은...
58,망막박리 원인과 증상 알아보고 치료하기,2021.08.23.,망막박리 원인과 증상 알아보고 치료하기 노화가 시작되는 중장년층에게서 흔히 나타났던 망막질환이... 받아보시고 망막이 박리되지 않았는지 주변부에 문제가 없는지 체크해야 합니다. 고도근시가 있는 경우에는...
59,열공 망막박리 수술방법은?,2021.08.11.,열공 망막박리 수술방법 표준 망막수술 열공성 망막박리의 수술 목적은 박리된 망막을 재유착시킴으로써 광수용체외절의 재생 및 감각신경망막과 망막색소상피세포층사이의 해부학적인 구조를 회복시킴으로써...
60,망막박리 레이저 치료 후기,2021.08.13.,나처럼 전조증상 없이 시력교정술 검사 받다가 망막박리 진단받은 케이스가 또 있을 것 같아서 후기를... 산동제 넣고 라식검사 때랑 비슷한 검사들을 하고 추가로 망막 단층부 사진인가..? 암튼 oct라는걸 찍었다...
61,망막박리 원인 대체 무엇이길래,2021.06.22.,"망막박리 원인을 알아 보기 전에 우선 정확한 개념 정리부터 하자면 망막박리란 망막 아래 공간에 물이 차는 질환으로 망막이 찢어지거나 구멍이 생기는 열공망막박리, 증식섬유혈관에 의한 견인력이 원인이 되는..."
62,"광시증 비문증 증상, 망막박리 일 수 있어요. 원인과 치료는?",2021.08.10.,"이번 포스팅에서는 망막박리, 망막열공에 대해서 하나씩 알아보겠습니다. 갑자기 시력변화, 눈앞이 번쩍하는 광시증, 눈앞에 벌레가 떠다니는 듯한 비문증이 생긴다면? 이런 증상이 있다면 바로 안과에 가서 진료와 함께..."
63,"비문증,노안,교통사고눈손상,망막박리,열공,천공,시야혼탁,시야흐림,포도막염,유리체출혈,황반출혈,눈외상",7일 전,망막이 떨어진 것을 다시 붙인다고 해도 망막박리는 후유증이 남을 수 있어요. 떨어진 시간이 오래된다면 정상적으로 기능을 회복하는 것이 어려워지면서 심한 경우에는 수술을 해도 시력이 호전되기 어려운 경우가...
64,망막이 떨어져 나왔다? 망막박리 #삼성동안과 #삼성중앙역,3일 전,"망막박리가 더 진행돼 망막 중심부 시력을 담당하는 황반 부위까지 침범하면 갑작스러운 시력 감소와 함께 사물이 찌그러져 보이는 변형시도 발생합니다. 망막박리의 치료 작게 발생한 국소적인 망막박리의 경우, 레이저..."
65,망막박리 진단받으신분 계시나요?,2021.04.05.,"발견해서 오늘 급하게 레이저 치료하고 왔는데. 범위가 좀 넓어소 수술까지 할수도 있다고 하고, 일단 망막전문 교수님진료 예약 잡아두고왔어요;; 망막박리 수술 해보신분 계시나요? 이거 치료하면 시력 유지될까요?"
66,"망막박리 진단 후, 공막동률술 재수술했습니다.",2021.07.14.,배우 안재현님은 망막박리로 수술하고 나중에 라섹(?)을 했다는데 망막박리 이후에 라섹하신분 있으신가요? 라섹하면 시력이 좋아질까요? 제가 듣기로 망막은 자동차 유리와 같아서 자동차 유리에 흙탕물이 튀었는데...
67,안과 질환 - 망막박리,2021.08.03.,"뒷유리체의 박리가 발생하게 되는데, 이때 망막이 같이 찢어질 수 있음. 따라서 눈에 아무런 이상이 없던 경우에도 망막박리는 발생할 수 있는 것임. 이와 같은 유리체 액화는 눈속 수술, 눈 외상, 눈속 염증 등을 겪은..."
68,망막박리 가스 주입 수술 후 안경,5일 전,안녕하세요~~ 저는 망막박리 가스 주입 수술한지 7주정도 되었습니다! 수술한 눈 시력이 0.3정도 나오고 수술안한 눈은 1.5정도 나오는데 안경은 언제부터 맞춰서 쓰면 좋을까요? 수술한 눈은 ㅠㅠ 핸드폰 글자도 안보여요...
69,망막박리수술후 증상질문입니다,2021.07.19.,망막박리 유리체젤제술 백내장포함 으로 수술햇습니다 스슬한지 2주네요... 물방울이 이제 거의없어졋고 검은 찌끄레기만 조금씩보입니다 2주때부턴 얻드려못자고 얖으로잣습니다 이상하게 느끼는게 2가지가 잇는데...
70,눈 건강: 눈앞에 날파리가 '둥둥'.. 망막 열공. 망막박리. 포도막염 때문?,2021.08.17.,"망막열공은 망막에 구멍이 생긴 상태를 말하고, 망막박리는 망막이 안구 벽에서 떨어진 부분의 시야 가 가려지면서 가려진 부분이 점 형태로 보일 수 있다. 김재석 상계백병원 안과 교수는 ""망막 열공이나 망막박리 같은 눈..."
71,망막박리 안과 에서 경고하는 주요 증상들?!,2021.08.18.,"다음으로 어두운 공간에서 빛을 느끼는 '광시증'도 망막박리 증상이랍니다. 망막이 박리되면 기존의 망막을 잡아당기게 되는데, 이때의 자극이 전기신호로 바뀌어 발생하는 현상입니다. 망막박리 증상을 알았으니, 이러한..."
72,"망막박리 원인, 증상에 대해서 알아보겠습니다!",2021.07.22.,열공 망막박리는 망막이 찢어지고 파열된 곳을 통해서 유리체가 망막 밑으로 들어가서 발생하는 것입니다. 유리체는 안구 내 수정체와 망막 사이를 채우고 있는 젤 형태의 부위로 무색의 투명한 곳입니다. 망막이 당겨져...
73,망막박리증상 떠다니는 검은점 방치는 금물,2021.07.29.,망막박리증상 떠다니는 검은점 방치는 금물 언젠가부터 갑자기 눈앞에 검은점이 보이시나요? 안구의움직임에... 망막중심부터 박리가 지속되는게 아니라 주변부부터 서서히 지속되면 증상을 느끼지 못하고 우연히...
74,"망막박리 , 장액성망막박리 , 중심성장액맥락망막병증",3일 전,- 네이버이미지 - 망막에 액이 차 있어 #망막박리 된 사진 - 네이버이미지 편집 - 망막에 차있는 액 밑에 염증 발견 동네병원 진단서 병명은 #장액성망막박리 질병분류기호는 #H33.2 동네의사 왈~ 염증에서 액이 나와서 그런다...
75,엄마 망막박리 수술 후 3일차,2021.05.12.,"10일 월요일 오전에 망막박리 수술 후 오늘이 3일차인데요 엎드려 계시는게 아무래도 굉장히 힘드신 듯 해요 ㅠㅠ 그래서 최대한 엎드려 있어야한다고 말씀드리는데 쓰레기버리러 나갔다 오시고, 설겆이도 하시고, 바닥과..."
76,"제주 망막박리 응급수술 실시, 김기수수안과 당일수술 가능",2021.08.10.,"망막박리는 망막이 눈의 나머지 부분과 떨어지는 것을 말하며, 아래와 같은 증상을 보인다면 망막박리를 의심할 수 있습니다. ㅇ 갑자기 번쩍이는 빛이 보인다. ㅇ 갑자기 검은 벌레나 점이 많이 보이거나 큼직하게 보인다...."
77,비문증 망막박리 같이 찾아온 것 같다면,2021.07.22.,망막박리는 망막이 찢어져 시력이 저하되는 안구질환을 말합니다. 그러므로 부유물이 갑자기 증가했거나 크기가 커진 경우 등 변화가 있다면 비문증 망막박리일 수 있으므로 안과에 내원하셔서 자세한 검사를 진행하셔야...
78,망막박리 정확히 알고 싶으시죠,2021.08.05.,망막박리는 망막 아래 부분에 있는 망막색소상피에서 시세포와 내망막층이 분리되는 질환인데요. 이로 인해서 갑작스러운 시력 저하나 실명이 되는 경우도 있기 때문에 전조 증상이 있을 경우 지체하지 말고 가까운...
79,"망막박리, 비문증, 당뇨망막병증 레이저 치료와 수술 - 대구 아이백안과 -",2021.08.03.,망막박리 망막박리는 안구벽으로부터 시세포와 내망막층이 분리되는 질환입니다. 노화가 진행되면서 유리체액화와 유리체박리로 망막박리가 발병되지만 최근 젊은 층에서도 고도근시로 인해 눈의 구조가 변하면서...
80,"실명까지 유발하는 응급질환 망막박리, 증상 알아보고 빠른 진단해보세요!",5일 전,망막질환을 제때 치료하지 않고 방치하게 되면 실명까지 이를수 있습니다. 오늘은 안질환 중 '망막박리'에... 특히 증상이 호전되지 않고 점점 심해져 시야에 커튼이 처진 느낌이 생기면 망막 열공 또는 박리가 진행되는...
81,망막박리 응급수술,2021.04.18.,아빠가 망막박리로 수술을 급하게 해야하는데 서울이나 경기도 일요일 진료보고 급하게 수술할수 있는 안과 있을까요?ㅠ
82,망막박리라니!눈건강에 무관심했던 후회란......,2021.08.10.,"받아보니 #망막박리 #응급수술 이 필요하다며 #진료의뢰서를 발행해줬다 눈이아플때, 안과진료도 응급실... 안과 당직선생님이 여러가지 안과검사를 하고 전문의 선생님께 콜을 해서 더 망막박리가 진행되지않게 레이저..."
83,"망막박리치료 : 냉동응고술, 유리체절제술",2021.08.12.,냉동응고술 / 유리체절제술 망막박리치료방법 망막박리는 망막이 안구 벽에서 떨어지거나 들떠서 박리되는 질환을 말합니다. 망막이 박리되면 망막에 영양공급이 되지 못해 시세포의 기능이 점점 떨어지고 기능을 못하게...
84,망막박리 레이저 치료 3개월 후 검사.,2021.08.10.,애초에 망막이 조금 약하기 때문에 조금 피곤하면 그럴 수있다고 했다. 생활하는데는 아무 문제가 없어서 신경 안쓸수 있기에 다행이다. 검사결과 3개월 전 레이저 치료를 해놓은 것이 잘 되어서 큰 문제는 없다. 박리가...
85,[노원안과.노원구안과] 망막박리란?,6일 전,"열공이 있는 망막박리의 치료는 망막박리의 원인이 되는 망막열공을 막아주고, 박리된 망막을 안구내벽에 원상 위치에 복귀 시켜주고, 다시 재발되지 않도록 고정하여 주는 과정이 필요합니다. 망막열공이나 망막박리의..."
86,망막박리수술,2021.06.25.,망막박리 2번째 수술을 2개월전에 실리콘오일 주입으로 했는데. 병원에서 해준의사가 자기가 유학을 가게됐다고 오일을 제거하자고 하는데.. 시기가 빠르지 않나 싶어서요. 상관없는걸까요?
