상호명,지점명,시도명,시군구명,도로명주소
커피빈코리아동탄라마다호,,경기도,화성시,경기도 화성시 노작로 199
커피빈플로리안,,경기도,고양시 일산서구,경기도 고양시 일산서구 일산로 646
엔에스커피빈,경희대점,경기도,수원시 영통구,경기도 수원시 영통구 매영로425번길 2
커피빈푸드,,경기도,성남시 중원구,경기도 성남시 중원구 사기막골로 177
커피빈,코리아광교아브뉴프랑점,경기도,수원시 영통구,경기도 수원시 영통구 센트럴타운로 85
커피빈,하남신세계백화점B1점,경기도,하남시,경기도 하남시 미사대로 750
커피빈,,경기도,부천시,경기도 부천시 부천로 4
커피빈코리아성균관대자연과학캠퍼스점,코리아성균관대자연과학캠퍼스점,경기도,수원시 장안구,경기도 수원시 장안구 서부로 2066
커피빈코리아일산원마운,,경기도,고양시 일산서구,경기도 고양시 일산서구 한류월드로 300
커피빈코리아일산,,경기도,고양시 일산동구,경기도 고양시 일산동구 무궁화로 20-11
커피빈,코리아광명아브뉴프랑점,경기도,광명시,경기도 광명시 양지로 16
앤에스커피빈,고덕점,경기도,평택시,경기도 평택시 고덕면 고덕여염12길 183
커피빈코리아일산원마운트점,코리아일산원마운트점,경기도,고양시 일산서구,경기도 고양시 일산서구 한류월드로 300
커피빈창원시티세븐점,창원시티세븐점,경상남도,창원시 의창구,경상남도 창원시 의창구 원이대로 332
커피빈,코리아창원상남동점,경상남도,창원시 성산구,경상남도 창원시 성산구 중앙대로 104
커피빈,진주LH본사점,경상남도,진주시,경상남도 진주시 충의로 19
커피빈함안휴게소부산방면,함안휴게소부산방면,경상남도,함안군,경상남도 함안군 군북면 현포로 205
커피빈함안휴게소순천방면,함안휴게소순천방면,경상남도,함안군,경상남도 함안군 군북면 현포로 205-1
커피빈,코리아창원시티세븐점,경상남도,창원시 의창구,경상남도 창원시 의창구 창원천로94번길 19
커피빈,,경상남도,통영시,경상남도 통영시 사량면 진촌1길 30
커피빈,,경상남도,창원시 진해구,경상남도 창원시 진해구 안청남로 40
커피빈,,경상남도,창원시,경상남도 창원시 마산합포구 동서남1길 25
커피빈,,경상남도,김해시,경상남도 김해시 덕정로138번안길 20
커피빈,코리아포항영일대점,경상북도,포항시 북구,경상북도 포항시 북구 삼호로265번길 1
커피빈,,경상북도,경주시,경상북도 경주시 양북면 어일중앙길 17
커피빈,,경상북도,영덕군,경상북도 영덕군 영덕읍 남석길 62
커피빈,코리아경주미탐시티점,경상북도,경주시,경상북도 경주시 엑스포로 80
커피빈,파머스마켓점,경상북도,구미시,경상북도 구미시 산업로 310
커피빈,,경상북도,상주시,경상북도 상주시 냉림서성길 32
커피빈,,경상북도,울진군,경상북도 울진군 죽변면 죽변9길 1
커피빈,코리아광주봉선점,광주광역시,남구,광주광역시 남구 봉선로 168
커피빈,코리아광주문화전당역점,광주광역시,동구,광주광역시 동구 서석로 44
커피빈,,광주광역시,남구,광주광역시 남구 효우로93번길 5
커피빈,,광주광역시,서구,광주광역시 서구 상무민주로 82
커피빈,코리아광주상무역점,광주광역시,서구,광주광역시 서구 상무중앙로 9
커피빈,코리아대구현대백화점점,대구광역시,중구,대구광역시 중구 달구벌대로 2077
커피빈,코리아대구228공원앞점,대구광역시,중구,대구광역시 중구 동성로3길 106
커피빈,코리아대구롯데영플라자점,대구광역시,중구,대구광역시 중구 국채보상로 585
더커피빈스,,대구광역시,수성구,대구광역시 수성구 청수로40길 75
커피빈,,대구광역시,수성구,대구광역시 수성구 동대구로74길 25
커피빈,코리아대전카이스트점,대전광역시,유성구,대전광역시 유성구 대학로 291
커피빈,코리아대전탄방동점,대전광역시,서구,대전광역시 서구 문정로 76
커피빈,부산무역센터점,부산광역시,중구,부산광역시 중구 충장대로 11
커피빈,코리아해운대한화콘도앞점,부산광역시,해운대구,부산광역시 해운대구 마린시티3로 51
커피빈,코리아부산화명수정역점,부산광역시,북구,부산광역시 북구 학사로 8
커피빈코리아부산수영역점,코리아부산수영역점,부산광역시,수영구,부산광역시 수영구 수영로 667
커피빈부산정관점,부산정관점,부산광역시,기장군,부산광역시 기장군 정관읍 정관로 563
더커피빈,,부산광역시,해운대구,부산광역시 해운대구 센텀동로 9
커피빈코리아해운대점,코리아해운대점,부산광역시,해운대구,부산광역시 해운대구 해운대해변로 277
커피빈,코리아부산서면서전로점,부산광역시,부산진구,부산광역시 부산진구 서전로 12
커피빈,부산역점,부산광역시,동구,부산광역시 동구 중앙대로 206
커피빈,빌리프,부산광역시,강서구,부산광역시 강서구 대저로 299
커피빈,코리아부산광복동점,부산광역시,중구,부산광역시 중구 광복로 35
커피빈,코리아해운대센텀호텔점,부산광역시,해운대구,부산광역시 해운대구 센텀3로 20
커피빈,코리아부산중앙역점,부산광역시,중구,부산광역시 중구 중앙대로 102
커피빈,코리아대학로대명거리점,서울특별시,종로구,서울특별시 종로구 대명길 25
커피빈코리아낙성대역점,코리아낙성대역점,서울특별시,관악구,서울특별시 관악구 남부순환로 1909
커피빈,코리아강남역랭기지타워점,서울특별시,강남구,서울특별시 강남구 테헤란로4길 28
커피빈,코리아청담성당점,서울특별시,강남구,서울특별시 강남구 삼성로 716
커피빈,코리아청담에스점,서울특별시,강남구,서울특별시 강남구 압구정로 461
COFFEEBEAN영동2교사거리점,영동2교사거리점,서울특별시,강남구,서울특별시 강남구 논현로 136
커피빈,코리아청담카페점,서울특별시,강남구,서울특별시 강남구 도산대로67길 7
커피빈,코리아반포엘루체점,서울특별시,서초구,서울특별시 서초구 신반포로 23
커피빈,관훈점,서울특별시,종로구,서울특별시 종로구 인사동10길 5
커피빈,서강대학교점,서울특별시,마포구,서울특별시 마포구 백범로 35
커피빈코리아오목교역사거리점,코리아오목교역사거리점,서울특별시,양천구,서울특별시 양천구 오목로 350
커피빈,안국역점,서울특별시,종로구,서울특별시 종로구 율곡로 47
커피빈,코리아뉴선릉역점,서울특별시,강남구,서울특별시 강남구 테헤란로 327
커피빈,미스리,서울특별시,송파구,서울특별시 송파구 도곡로64길 8
커피빈,코리아연대동문회관점,서울특별시,서대문구,서울특별시 서대문구 성산로 515
커피빈,코리아서초지파이브점,서울특별시,서초구,서울특별시 서초구 서초중앙로24길 27
커피빈코리아트레이드타,,서울특별시,강남구,서울특별시 강남구 영동대로 511
커피빈코리아서초역1번출구점,코리아서초역1번출구점,서울특별시,서초구,서울특별시 서초구 서초대로 250
커피빈,코리아동부이촌점,서울특별시,용산구,서울특별시 용산구 이촌로 303
커피빈코리아압구정로데오점,코리아압구정로데오점,서울특별시,강남구,서울특별시 강남구 선릉로157길 12
커피빈,코리아차병원점,서울특별시,강남구,서울특별시 강남구 논현로 566
커피빈,코리아중계동은행사거리점,서울특별시,노원구,서울특별시 노원구 한글비석로 263
커피빈,코리아대치도곡역점,서울특별시,강남구,서울특별시 강남구 남부순환로 2911
커피빈,코리아청담점,서울특별시,강남구,서울특별시 강남구 선릉로158길 10
커피빈,코리아하나은행을지로본점,서울특별시,중구,서울특별시 중구 을지로 35
커피빈,코리아논현동팍스타워점,서울특별시,강남구,서울특별시 강남구 언주로 609
커피빈치,,서울특별시,은평구,서울특별시 은평구 응암로 302-1
커피빈,코리아홍대역8번출구점,서울특별시,마포구,서울특별시 마포구 양화로18안길 7
커피빈,코리아구로지밸리몰점,서울특별시,구로구,서울특별시 구로구 디지털로 300
커피빈,코리아목동홈플러스점,서울특별시,양천구,서울특별시 양천구 목동서로 170
커피빈,코리아여의도34번지점,서울특별시,영등포구,서울특별시 영등포구 국제금융로 52
커피빈,코리아대치포스코뒷점,서울특별시,강남구,서울특별시 강남구 삼성로85길 11
커피빈,강남대로점,서울특별시,서초구,서울특별시 서초구 강남대로 365
커피빈,코리아잠원논현역점,서울특별시,서초구,서울특별시 서초구 신반포로47길 5
커피빈,코이라마곡마커스빌딩점,서울특별시,강서구,서울특별시 강서구 마곡동로 55
커피빈,삼성전자강남사옥점,서울특별시,서초구,서울특별시 서초구 서초대로74길 11
커피빈,코리아영동고앞점,서울특별시,강남구,서울특별시 강남구 선릉로 749
커피빈코리아선릉로93길점,코리아선릉로93길점,서울특별시,강남구,서울특별시 강남구 선릉로93길 6
커피빈파크에비뉴엔터식스한양대점,파크에비뉴엔터식스한양대점,서울특별시,성동구,서울특별시 성동구 왕십리로 241
커피빈,,서울특별시,강남구,서울특별시 강남구 삼성로85길 39
커피빈,수서점,서울특별시,강남구,서울특별시 강남구 광평로 280
커피빈,코리아서초중앙로점,서울특별시,서초구,서울특별시 서초구 서초중앙로 209
커피빈,건대스타시티점,서울특별시,광진구,서울특별시 광진구 아차산로 262
커피빈,올림픽공원북2문앞,서울특별시,강동구,서울특별시 강동구 강동대로 195
커피빈남부터미널점,남부터미널점,서울특별시,서초구,서울특별시 서초구 서초중앙로 43
커피빈,코리아여의도중앙점,서울특별시,영등포구,서울특별시 영등포구 국회대로68길 17
커피빈,강남KTB점,서울특별시,강남구,서울특별시 강남구 강남대로 358
커피빈,코리아세종문화회관옆점,서울특별시,종로구,서울특별시 종로구 새문안로9길 25
커피빈,코리아홍대역점,서울특별시,마포구,서울특별시 마포구 홍익로6길 26
커피빈,송파헬리오시티점,서울특별시,송파구,서울특별시 송파구 송파대로 345
커피빈,코리아종로관철동점,서울특별시,종로구,서울특별시 종로구 청계천로 83
커피빈,강남역142호점,서울특별시,서초구,서울특별시 서초구 강남대로65길 7
커피빈,바우하우스점,서울특별시,동대문구,서울특별시 동대문구 답십리로 288
커피빈,이대점,서울특별시,서대문구,서울특별시 서대문구 이화여대길 68
커피빈,대치역점,서울특별시,강남구,서울특별시 강남구 남부순환로 2942
커피빈,코리아여의도K타워점,서울특별시,영등포구,서울특별시 영등포구 국제금융로8길 31
커피빈,코리아영동2교사거리점,서울특별시,강남구,서울특별시 강남구 논현로 136
커피빈코리아건대스타시티,,서울특별시,광진구,서울특별시 광진구 아차산로 262
커피빈,코리아강남역12번출구점,서울특별시,강남구,서울특별시 강남구 테헤란로 111
커피빈코리아강남역142,,서울특별시,서초구,서울특별시 서초구 강남대로65길 7
커피빈,천호현대백화점옆점,서울특별시,강동구,서울특별시 강동구 천호대로 1015-14
커피빈코리아강변테크노마트점,코리아강변테크노마트점,서울특별시,광진구,서울특별시 광진구 광나루로56길 85
커피빈코리아합정푸르지오점,코리아합정푸르지오점,서울특별시,마포구,서울특별시 마포구 월드컵로3길 14
커피빈,코리아상암DDMC점,서울특별시,마포구,서울특별시 마포구 매봉산로 75
커피빈코리아논현2015번지점,코리아논현2015번지점,서울특별시,강남구,서울특별시 강남구 강남대로112길 20
커피빈,코리아서초뱅뱅사거리점,서울특별시,서초구,서울특별시 서초구 강남대로 267
커피빈,삼성동EXPRESS점,서울특별시,강남구,서울특별시 강남구 봉은사로103길 6
커피빈,코리아강서그랜드아이파크점,서울특별시,강서구,서울특별시 강서구 화곡로 341
커피빈코리아외대앞점,코리아외대앞점,서울특별시,동대문구,서울특별시 동대문구 이문로 106
커피빈코리아강동경희대병원앞점,코리아강동경희대병원앞점,서울특별시,강동구,서울특별시 강동구 동남로 885
커피빈코리아신사점,코리아신사점,서울특별시,강남구,서울특별시 강남구 도산대로 126
커피빈,코리아목동점,서울특별시,양천구,서울특별시 양천구 목동동로 293
커피빈,코리아종로센트로폴리스점,서울특별시,종로구,서울특별시 종로구 우정국로 26
커피빈,코리아잠실향군타워점,서울특별시,송파구,서울특별시 송파구 올림픽로35길 123
커피빈코리아강남구청앞점,코리아강남구청앞점,서울특별시,강남구,서울특별시 강남구 학동로 423
커피빈,코리아선정릉역점,서울특별시,강남구,서울특별시 강남구 봉은사로 331
커피빈,코리아응암동점,서울특별시,은평구,서울특별시 은평구 은평로 121
커피빈,코리아화곡역점,서울특별시,강서구,서울특별시 강서구 강서로 162
커피빈,코리아대치한티점,서울특별시,강남구,서울특별시 강남구 선릉로64길 23
커피빈,코리아교대점,서울특별시,서초구,서울특별시 서초구 서초중앙로 118
커피빈,차병원사거리점,서울특별시,강남구,서울특별시 강남구 봉은사로 207
커피빈코리아테헤란로하이,,서울특별시,강남구,서울특별시 강남구 테헤란로70길 12
커피빈코리아테헤란로비,,서울특별시,강남구,서울특별시 강남구 테헤란로 312
커피빈,,서울특별시,영등포구,서울특별시 영등포구 영등포로9길 46
커피빈,코리아청계천을지로점,서울특별시,중구,서울특별시 중구 남대문로10길 33
커피빈,코리아교대법원점,서울특별시,서초구,서울특별시 서초구 서초중앙로 156
커피빈코리아올림픽공원북,,서울특별시,강동구,서울특별시 강동구 강동대로 195
커피빈,코리아신논현역2번출구점,서울특별시,서초구,서울특별시 서초구 강남대로 475
커피빈,코리아대학로마로니에점,서울특별시,종로구,서울특별시 종로구 대학로12길 62
커피빈,코리아혜화역1번출구점,서울특별시,종로구,서울특별시 종로구 대학로 128
커피빈,코리아여의도교보증권점,서울특별시,영등포구,서울특별시 영등포구 의사당대로 97
커피빈,코리아한성대입구역점,서울특별시,성북구,서울특별시 성북구 삼선교로 12
커피빈,미스리,서울특별시,송파구,서울특별시 송파구 중대로 24
커피빈,별나라,서울특별시,강남구,서울특별시 강남구 역삼로77길 7
커피빈코리아위례2차아이파크점,코리아위례2차아이파크점,서울특별시,송파구,서울특별시 송파구 위례광장로 230
커피빈코리아세종문화회,,서울특별시,종로구,서울특별시 종로구 새문안로9길 25
커피빈코리아명동성당앞,,서울특별시,중구,서울특별시 중구 명동길 73
커피빈코리아논현동팍스타워,,서울특별시,강남구,서울특별시 강남구 언주로 609
커피빈,강남대로센터점,서울특별시,강남구,서울특별시 강남구 강남대로 442
커피빈코리아국기원사거,,서울특별시,강남구,서울특별시 강남구 테헤란로8길 42
커피빈코리아상봉역점,코리아상봉역점,서울특별시,중랑구,서울특별시 중랑구 망우로 291
커피빈,코리아서초부띠크모나코점,서울특별시,서초구,서울특별시 서초구 서초대로 397
커피빈코리아여의도순복음교회옆점,코리아여의도순복음교회옆점,서울특별시,영등포구,서울특별시 영등포구 여의서로 43
커피빈,코리아종각역점,서울특별시,종로구,서울특별시 종로구 종로 70
커피빈,코리아용산아이파크몰점,서울특별시,용산구,서울특별시 용산구 한강대로21나길 7
커피빈코리아서울대입구,,서울특별시,관악구,서울특별시 관악구 관악로 161
커피빈코리아선릉로86,,서울특별시,강남구,서울특별시 강남구 선릉로86길 11
커피빈코리아대치포스코,,서울특별시,강남구,서울특별시 강남구 삼성로85길 11
커피빈,코리아시청역7번출구점,서울특별시,중구,서울특별시 중구 세종대로 84
커피빈,코리아언주로점,서울특별시,강남구,서울특별시 강남구 언주로 819
커피빈,코리아강서홈플러스점,서울특별시,강서구,서울특별시 강서구 화곡로 398
커피빈,코리아현대자동차성내점,서울특별시,강동구,서울특별시 강동구 천호대로 1096
커피빈코리아현대자동차강남오토스퀘어점,코리아현대자동차강남오토스퀘어점,서울특별시,강남구,서울특별시 강남구 강남대로 350
커피빈,코리아내방역7번출구유중아트점,서울특별시,서초구,서울특별시 서초구 방배로 178
커피빈,코리아여의도신영증권별관점,서울특별시,영등포구,서울특별시 영등포구 국제금융로8길 6
커피빈,코리아순화동라마다호텔점,서울특별시,중구,서울특별시 중구 칠패로 27
커피빈코리아천호역점,코리아천호역점,서울특별시,강동구,서울특별시 강동구 올림픽로 659
커피빈코리아대치사거리점,코리아대치사거리점,서울특별시,강남구,서울특별시 강남구 삼성로 352
커피빈,코리아영동점,서울특별시,서초구,서울특별시 서초구 강남대로 503
커피빈삼성역글라스타워뒷점,삼성역글라스타워뒷점,서울특별시,강남구,서울특별시 강남구 영동대로85길 9
커피빈,코리아송파파크하비오B1점,서울특별시,송파구,서울특별시 송파구 송파대로 111
커피빈장안점,장안점,서울특별시,동대문구,서울특별시 동대문구 장한로 115
커피빈코리아도곡동지오빌딩점,코리아도곡동지오빌딩점,서울특별시,강남구,서울특별시 강남구 도곡로 206
커피빈코리아노원역점,코리아노원역점,서울특별시,노원구,서울특별시 노원구 노해로 490
커피빈코리아보라매공원,,서울특별시,동작구,서울특별시 동작구 보라매로5길 35
커피빈코리아수유역점,코리아수유역점,서울특별시,강북구,서울특별시 강북구 도봉로 352
커피빈,코리아목동트라팰리스점,서울특별시,양천구,서울특별시 양천구 오목로 299
커피빈,코리아현대자동차여의도점,서울특별시,영등포구,서울특별시 영등포구 국제금융로 20
커피빈코리아강남역먹자골목점,코리아강남역먹자골목점,서울특별시,강남구,서울특별시 강남구 테헤란로1길 29
커피빈,코리아교대역점,서울특별시,서초구,서울특별시 서초구 서초대로 280
커피빈,코리아뉴교보타워옆점,서울특별시,서초구,서울특별시 서초구 강남대로 449-3
커피빈,코리아뉴압구정점,서울특별시,강남구,서울특별시 강남구 논현로167길 9
커피빈,코리아방배카페골목점,서울특별시,서초구,서울특별시 서초구 방배중앙로 187
커피빈,코리아소공동삼화빌딩점,서울특별시,중구,서울특별시 중구 남대문로7길 16
커피빈,코리아광화문역1번출구점,서울특별시,종로구,서울특별시 종로구 새문안로5가길 7
커피빈,여의도역점,서울특별시,영등포구,서울특별시 영등포구 의사당대로 110
커피빈코리아구로디지털단지점,코리아구로디지털단지점,서울특별시,구로구,서울특별시 구로구 디지털로 273
커피빈,코리아강남에스점,서울특별시,서초구,서울특별시 서초구 강남대로 423
커피빈,코리아고대안암역점,서울특별시,성북구,서울특별시 성북구 개운사길 8
커피빈,코리아삼성봉은사로점,서울특별시,강남구,서울특별시 강남구 봉은사로 628
커피빈,코리아신촌점,서울특별시,서대문구,서울특별시 서대문구 연세로 8-1
커피빈,연대동문회관점,서울특별시,서대문구,서울특별시 서대문구 연세로 50
커피빈,코리아강남역GT타워옆점,서울특별시,서초구,서울특별시 서초구 서초대로73길 12
커피빈,상수역점,서울특별시,마포구,서울특별시 마포구 와우산로10길 3
커피빈,코리아수서역원방빌딩점,서울특별시,강남구,서울특별시 강남구 광평로51길 6-23
커피빈,코리아강남대로점,서울특별시,서초구,서울특별시 서초구 강남대로 369
커피빈코리아포스코옆삼성로86길점,코리아포스코옆삼성로86길점,서울특별시,강남구,서울특별시 강남구 삼성로86길 11
커피빈코리아고대참살이길점,코리아고대참살이길점,서울특별시,성북구,서울특별시 성북구 인촌로24길 25
커피빈코리아인사점,코리아인사점,서울특별시,종로구,서울특별시 종로구 인사동4길 18
커피빈,코리아합정역점,서울특별시,마포구,서울특별시 마포구 독막로 13
커피빈코리아역삼점,코리아역삼점,서울특별시,강남구,서울특별시 강남구 논현로 512
커피빈코리아양천향교역점,코리아양천향교역점,서울특별시,강서구,서울특별시 강서구 강서로 455
커피빈,코리아시흥홈플러스점,서울특별시,금천구,서울특별시 금천구 시흥대로 201
커피빈코리아상암동SBS,,서울특별시,마포구,서울특별시 마포구 상암산로 82
커피빈,이태원몬드리안호텔점,서울특별시,용산구,서울특별시 용산구 장문로 23
커피빈,논현역6번출구앞점,서울특별시,서초구,서울특별시 서초구 강남대로 563
커피빈코리아삼청동점,코리아삼청동점,서울특별시,종로구,서울특별시 종로구 삼청로 109
커피빈,왕십리민자역사점,서울특별시,성동구,서울특별시 성동구 왕십리광장로 17
커피빈코리아CBTL잠실홈플러스점,코리아CBTL잠실홈플러스점,서울특별시,송파구,서울특별시 송파구 올림픽로35가길 16
커피빈코리아여의도교보증,,서울특별시,영등포구,서울특별시 영등포구 의사당대로 97
커피빈,코리아남대문점,서울특별시,중구,서울특별시 중구 후암로 110
커피빈,코리아마리오아울렛점,서울특별시,금천구,서울특별시 금천구 디지털로9길 23
커피빈코리아올림픽공원,,서울특별시,송파구,서울특별시 송파구 올림픽로 424
커피빈,코리아서초동점,서울특별시,서초구,서울특별시 서초구 반포대로 70
커피빈,코리아신촌현대백화점점,서울특별시,서대문구,서울특별시 서대문구 신촌로 83
커피빈코리아이태원점,코리아이태원점,서울특별시,용산구,서울특별시 용산구 이태원로 189
커피빈,코리아을지로입구역점,서울특별시,중구,서울특별시 중구 남대문로10길 6
커피빈,길동별,서울특별시,강동구,서울특별시 강동구 양재대로112길 3
커피빈,서초우성아파트앞점,서울특별시,서초구,서울특별시 서초구 사임당로 171
커피빈,코리아울산업스퀘어점,울산광역시,남구,울산광역시 남구 화합로 185
울산바리스타디투커피빈,,울산광역시,중구,울산광역시 중구 명륜로 70
커피빈코리아인천구월동점,코리아인천구월동점,인천광역시,남동구,인천광역시 남동구 예술로 138
COFFEEBEAN송도홈플러스점,송도홈플러스점,인천광역시,연수구,인천광역시 연수구 송도국제대로 165
커피빈,인천국제공항2호점,인천광역시,중구,인천광역시 중구 공항로 272
커피빈,인천공항제2여객터미널입구점,인천광역시,중구,인천광역시 중구 제2터미널대로 444
커피빈,코리아송도트리플스트리트점,인천광역시,연수구,인천광역시 연수구 송도과학로16번길 33-4
커피빈,코리아송도푸르지오월드마크점,인천광역시,연수구,인천광역시 연수구 컨벤시아대로 60
커피빈,코리아송도홈플러스점,인천광역시,연수구,인천광역시 연수구 송도국제대로 165
커피빈,송도트리플점,인천광역시,연수구,인천광역시 연수구 송도과학로16번길 33-3
커피빈선학,,인천광역시,연수구,인천광역시 연수구 선학로68번길 7-4
커피빈,코리아부평문화의거리점,인천광역시,부평구,인천광역시 부평구 시장로 29
커피빈스빈,,전라남도,해남군,전라남도 해남군 문내면 동영길 5
커피빈,,전라북도,전주시 완산구,전라북도 전주시 완산구 기린대로 213
스팟커피빈벤더스,,제주특별자치도,제주시,제주특별자치도 제주시 서광로3길 11-1
커피빈,코리아제주아라점,제주특별자치도,제주시,제주특별자치도 제주시 연북로 511
커피빈,코리아천안신부동점,충청남도,천안시 동남구,충청남도 천안시 동남구 만남로 48
커피빈,,충청남도,금산군,충청남도 금산군 금산읍 비선길 44
커피빈,코리아청주점,충청북도,청주시 상당구,충청북도 청주시 상당구 상당로69번길 20
커피빈,,충청북도,제천시,충청북도 제천시 죽하로 71-3
커피빈,,충청북도,제천시,충청북도 제천시 독순로11길 1
커피빈,,충청북도,제천시,충청북도 제천시 내제로 74
커피빈,파비뇽점,충청북도,청주시 흥덕구,충청북도 청주시 흥덕구 월명로 212
