,title,date,content
12,스마트폰(갤럭시 A30) 과 DAC(토핑 E-30) 연결 질문입니다.,2021.08.04.,"제가 지금 스마트폰(갤럭시 A30) 에서 벅스 실행하여 DAC(토핑 E-30)과 연결해서 음악을 듣고 있는 방식입니다. 스마트폰, 벅스 음원 플레이 (USB Type-C) 출력 > DAC (USB2.0 BM) 입력 > DAC 아날로그 출력 > 인티앰프 아날로그..."
13,LG스마트폰 데이터는 되는데 갑자기 통화불가 시 조치방법,4일 전,"제가 사용하는 스마트폰 기종은 LG V40인데요, 어제 오후 퇴근무렵 갑자기 통화가 안되는 상황이 발생했습니다. 근데 인터넷 사용은 됩니다. 여러번 재부팅도 해보고, 내비로 쓰는 핸폰에 유심을 옮겨서 테스트해보니..."
14,다음 스마트폰 디자인은 폴더블이 끝? 다른 디자인은...,2021.07.27.,"지난해 말, 이재용 삼성전자 부회장은 행사장에 폰 하나를 들고 등장했는데요. 공개된 사진을 보면 바... 스마트폰이 스마트워치 속으로? 오포의 자회사 BBK는 꽤 신기한 스마트폰 디자인을 특허로 냈어요. 이 특허를..."
15,샤오미 6월 세계 스마트폰 판매량 삼성전자 따돌리고 1위,2021.08.06.,​삼성전자 제치고 스마트폰 판매량 '첫 1위' ​삼성전자 제치고 스마트폰 6월 판매량 '첫 1위'카운터포인트리서치 조사 6월 샤오미 17.1% vs 삼성 15.7%​[갓잇코리아 / 이동규 기자] 중국 휴대폰 업체 샤오미의 지난 6월...
16,F3 저의 첫 샤오미 스마트폰 구매와 사용기 ㅋㅋ,4일 전,얼마전에 제 샤오미 첫 스마트폰을 F3 6/128을 큐텐에서 38에 구매하고 쓴지 어언 일주일에서 2주일정도 되어가는것같네요 처음에 기기를 받고 언락신청해놓고 세븐모바일로 통신사를 옮겨서 해피콜을 기다리던중에...
17,스마트폰 배터리를 오래 사용하는 팁!,2021.07.01.,스마트폰 배터리를 오래 사용하는 팁을 공유해볼께요~ 알아두면 좋을 상식~! 우리가 필수적으로 사용하는 스마트폰! 그런데 그 스마트폰을 일정기간 사용하다보면 배터리가 금방 금방 떨어져서 보조배터리가 없으면...
18,갤럭시워치4 처음인데 블투면 스마트폰없이 자체적으로 활용못하나요?,2021.08.18.,운동이나 혹 스마트폰이 없을시에 스마트시계 독립적으로 기능활용? 등 할수있느냐 궁금합니다. 모든것 다 활용하려면 블루투스 페어링으로 스마트폰 이 꼭 필요한건지 설정시에만 블투연결 기능설정 필요한건지요...
19,"샤오미 미믹스4 스마트폰, 카메라, 스펙, 가격, 디자인 공개 샤오미 핸드폰 매력은?",4일 전,"샤오미 스마트폰 라인업 중에서 플래그십 ( 고급형 ) 핸드폰 인데요. 삼성 언팩 행사 하루 전에 공개를 함으로써, 아무래도 플래그십 스마트폰 시장에 다시 한번 경쟁을 할 수 밖에 없는 구도가 되지 않았나 생각을..."
20,카카오톡 대화내용 백업 및 복원 스마트폰 바꾸면 필수!!,2일 전,"이제 폰 바꿀 때마다 하도 여러 번 해도 슥슥~ 할 수 있어요.ㅎㅎㅎ 스마트폰 바꾸면 필수코스인 카카오톡 대화내용 복원 엄청 쉬우니 한번 따라해보세요! 저는 PC버전에서 백업하고, 새폰으로 다운받거나 예전 폰에서..."
21,스마트폰짐벌 벤로 3XS LITE 사용후기,4일 전,스마트폰짐벌 벤로 유튜브를 시작한지도 좀 되었는데 영상을 너무 안올렸더라구요. 다시 제대로 시작해볼까... 홀더도 빅사이즈라 현존하는 대부분의 스마트폰과도 호환이 잘 된답니다. 특히 요즘 큰 사이즈의 핸드폰이...
22,스마트폰싸게사는법 적용해 아이폰12 미니 가져,4일 전,안녕하세요 :) 스마트폰싸게사는법 많은분들이 궁금해하시는데 정말 의외로 간단해요 업체를 잘 선정하는것... 시간에는 스마트폰싸게사는법에 관련한 팁을 몇가지 남겨드릴까 해요 일단 제가 괜찮을것이라 보고있는...
23,스마트폰 화면을 TV와 연결해서 크게 한번 볼까? fe. 미러링,2021.05.09.,"스마트 티비를 가지고 있으시다면, 미러링을 비롯하여 스마트폰 TV 연결은 매우 쉽게 진행할 수 있습니다. 자신이 집에서 사용하는 공유기에 핸드폰과 티비가 연결되어 있으면 된다는 것! 유튜브와 넷플릭스를 실행했을..."
24,스마트폰 배터리 부푸는 이유가 먼가요?,2021.08.01.,질문 대상 기기 ▶ 스마트폰 배터리 질문 키워드 ▶ 스마트폰 배터리 부푸는 이유 질문 내용 ▼ 배터리가 탈착하면서 사용하는 방식이였을 때는 딱 한번 부풀어서 교체 한적이 있지만 그래도 탈착식 배터리는 부푸는...
25,핸드폰티비연결 스마트폰 미러링 케이블 통해 넷플릭스TV 연결!,4일 전,돌아와 스마트폰 미러링으로 TV에 연결하여 큰 화면으로 영화나 기타 영상 콘텐츠를 감사하는 것이 하루의... 스마트티비라면 무선으로 연결을 하는 것도 가능하지만 이렇게 유선으로 하게 되면 아무래도 지연이...
26,스마트폰용 85-200mm 줌렌즈와 5축 떨방 공개한 오포,2021.08.21.,국내 시장에서는 매니아분들을 제외하고 그다지 이름이 알려져 있지 않은 오프 스마트폰이기도 하지만... 오포 역시 매년 많은 신기술을 공개하며 기술력을 자랑하고 있는 스마트폰 리딩 그룹으로 거듭나고 있는 것도...
27,"무료 안드로이드 모바일 화면 공유, 스마트폰 화면 미러링 방법 - scrcpy",2021.08.19.,"보통 스마트폰 화면 미러링 이라고도 부릅니다. 일반적으로 제가 가장 많이 사용하는 것은... 안드로이드 개발자 옵션 켜기 안드로이드 폰 화면에서 한손으로 끌어 내리면 ""설정..."
28,스마트폰싸게사는법 적용하면 아이폰12 미니 공짜로,5일 전,스마트폰싸게사는법은 생각보다 간단한데요 업체선정만 잘해도 이모든것들이 해결이 가능하다는것이죠... 시간에는 스마트폰싸게사는법에 관련한 팁을 몇가지 남겨드릴까 해요 일단 제가 괜찮을것이라 보고있는...
29,스마트폰 두 개에 키 설정 가능한가요?,2021.08.20.,아직 하루밖에 안 되어서 서툴지만 역시 재미있습니다. ^^ 한 가지 궁금증. 카드키는 두 장 주잖아요. 그럼 스마트폰 두개에 키 설정할 수 있어야 할 것 같은데요. 가능한가요? 이상입니다. 답변 미리 감사드립니다.
30,갤럭시 스마트폰 주기적으로 /자동 재시작/자동 최적화 설정하는 방법/스마트폰 강사 이정화,2021.08.17.,스마트폰은 많은 기능이 있는 만큼 문제가 생겼을 때의 해결 방법도 상황에 따라 다릅니다. 하지만 스마트폰에 대한 지식이 다소 부족할 수 있는 사람들에게도 해결해야 하는 문제들이 있죠. 오늘 스마트폰 강사...
31,스마트폰복구센터 무슨일을 하는곳일까요?,18시간 전,저희는 강동점 노원점 인천점에서 스마트폰 복구를 하고있구요 하단 이미지를 참조해주시고 가까운곳을 이용해주시면 감사하겠습니다 그럼 오늘의 포스팅을 시작해보도록 하겠습니다 스마트폰복구센터 처음 듣는...
32,스마트폰 굳이 비싼거 필요하나 싶어요,2021.08.19.,스마트폰 굳이 고가형 제품 살 필요 있나 싶어요. 휴대용 기기이다보니 조심히 다룬다해두 언제 망가질지도 모르는거구요. 비싼 아이폰이나 갤럭시s시리즈 이런 고가형 보다 중저가 제품군인 갤럭시a시리즈 샤오미 이쪽도...
33,ASUS 젠폰8 스펙 살펴보기 (5인치대 플래그십 스마트폰),2021.08.21.,"최근 출시되는 안드로이드 스마트폰은 6인치대 화면 크기가 기본입니다. 원플러스나 샤오미같은 중국 스마트폰들 역시 6인치대가 기본이죠, 심지어 보급형조차도 6인치대 초반이 흔하지않습니다! 그렇다면 5인치대..."
34,갤럭시A51 공짜 5G스마트폰 좋은 이유,어제,"그러면서도 보급형 스마트폰 모델이라, 플래그십 스마트폰에 비교했을 때 저렴한 가격을 가지고 있다고 보면 될 것 같습니다. 프로세서 그리고 내장 메모리 옵션과 다양한 스펙들이 정말 잘 나왔다는 생각이..."
35,혹시 스마트폰 음악어플 뭐쓰세여,2021.08.11.,진짜 스마트폰으로 BBE나 클리어베이스 앱 풀리면 한 30만원유료로 돈받아도 살의향이있는데 현실적으로 불가하고 저는 나름 현실에 타협해서 파워엠프 유료로 쓰고있는데여 이거보다 좋은 앱이 혹시있을까여 음질...
36,"고사양 게이밍스마트폰, 누비아 레드매직6R 원신 플레이",2021.08.22.,"고사양 게이밍스마트폰, 누비아 레드매직6R 원신 플레이 안녕하세요. 사진&IT 크리에이터 자유분방입니다. 요즘 스마트폰으로 플레이할 수 있는 고사양 게임들이 많이 출시가 되면서, 게이밍스마트폰이라는 하나의..."
37,갤럭시 A52s 5G 9월 출시.50만원대 보급형 스마트폰,5시간 전,갤럭시 A52s 5G 갤럭시의 보급형 스마트폰 갤럭시 A52s 5G모델이 출시를 앞두고 있습니다. 50만원대 가격으로 구입을 할 수 있는 제품으로 자급제로 구입해서 알뜰폰 요금제와 함께 사용하면 좋을것...
38,태블릿 스마트폰 보호필름 추천 힐링쉴드,3일 전,필자가 새로운 태블릿이나 스마트폰 등 새로운 디바이스를 사용하게 되면 꼭 이용하는 제품이 있으니 바로... 필자의 경우 쌩폰으로 사용하기 때문에 스마트폰 사용할때도 후면보호필름은 꼭 부착하고 사용했다. 촉감도...
39,"샤오미 미믹스4, 갤럭시Z폴드3 언팩 하루 전 공개될 UDC 스마트폰",2021.08.07.,"플래그십 스마트폰 브랜드이면서, 베젤리스와 디스플레이에 특징을 강하게 두고 있는 라인업이기도 하다. 라인업의 최신 모델로는 지난 3월 플렉시블 디스플레이를 채택한 미믹스 폴드(Mi Mix)가, 바형 스마트폰은..."
40,"스마트폰, 키오스크 더 이상 어렵지 않아요! 이천을 담은 스마트에이징으로 공부하세요.",어제,"이천시 스마트 에이징 총 10강으로 구성되어 있습니다. 스마트폰 기본기, 플레이스토어 이용방법 스마트폰 알림 창 살펴보기, 전화 와 문자처럼 기본적인 사용방법부터 카카오톡, 네이버, 유튜브와 같이 가장 많이..."
41,입문용 와콤 타블렛 추천 인튜어스 설정 스마트폰 연결까지!,2021.05.26.,안드로이드 스마트폰과 연결 와콤 인튜어스는 안드로이드 스마트폰과 연결하여 사용할 수 있는데요. 이를 위해서는 USB OTG가 필요합니다. 물론 별도로 구매를 해야 하고요. USB 케이블 끝에 이 USB OTG를 꽂은 다음...
42,"스마트폰 인물 동영상 촬영기법 : Vertigo effect(돌리줌), 여친사진 촬영각!",2021.07.11.,내는 스마트폰 특수 동영상 촬영기법(?!)이 있길래 발췌해서 소개해요. 배경이 점점 다가오도록 촬영한... ▲ 촬영자가 스마트폰 카메라를 동영상 촬영하면서 피사체 인물로부터 멀어졌다 가까와 졌다 움직입니디....
43,[금천구청] 2021년 정보화교육 재밌는 스마트폰초급 온라인교육 8월 7회 - 스마트폰 사진촬영 설정...,14시간 전,"SNS 스마트폰강사 김미경 인사드려요. 엇그제 덥다고 했는 데 벌써 가을 바람이 불어서 운동, 독서, 공부 등 하기 딱 좋은 계절 가을이 왔습니다. 오후 2시부터 오후 4시까지 금천구청 2021년 정보화교육 재밌는 스마트폰초..."
44,갤럭시 A90 (SM-A908N) 떨어 지면서 스마트폰 액정 뒤부분이 부서지고 깨짐 전원불가 전화번호복구 (경북...,4일 전,Samsung 스마트폰 고장으로 안켜지는 폰들 데이터 복구 전문점이 있다고 해서 택배로 보내주셨어요 처음 인식... 경우 스마트스위치로 백업을 하고 있어서 새로운 폰을 구입하신 경우 그대로 복원을 하기 때문에 이전폰에...
45,스마트 폰을 컴퓨터에서 사용할 수 있는 웹캠으로 만들어 볼까요,5일 전,"경우 스마트 폰으로 교육을 듣는 분들이 계신데요. 작은 화면으로 교육을 받다 보니 가독성이 낮아 교육의 질이 낮은 것 같아서, 스마트 폰을 웹캠처럼 PC에 연결해서 사용할 수 있는 방법을 소개합니다. 먼저..."
46,스마트폰 음성인식&인공지능 번역 서비스 특강,23시간 전,"▷ 구로구청 온라인정보화교육 사이트 주소 ▼▼▼ 저는 8/18일부터 8/25일까지 월요일, 수요일 13:00~15:30에 진행된 ‘스마트폰 음성인식 &인공지능 번역 서비스’ 특강을 수강 해보았습니다. 이 강의를 통해 스마트폰을..."
47,스마트폰 가격,2021.08.23.,스마트폰 가격은 보급형이 100만원 이하 주력폰은 100만원 후반 200만원 가까이.. 가끔 깜짝깜짝 놀랄 때가 있다. 스마트폰 가격이 이렇게 까지? 평소 2~3단계 하위 버전을 구매하는게 맞다는 생각을 하고...
48,스마트폰 사진인화 캐논 포토프린터 셀피스퀘어 QX10 어디서든 간편하게!,5시간 전,사진으로 일상을 기록하게 되면서 스마트폰에 차곡차곡 쌓여 있는 있는 사진들은 주기적으로... ㅠㅠ 지난 주말에는 아이들과 스마트폰 속 사진들을 꺼내보았는데 마스크가 없던 시절이 참 그립더라고요. ㅎ...
49,휴대성 좋은 스마트폰 짐벌 벤로 3XS LITE,5일 전,그래서 안정감 있는 야외 촬영을 위해 콤팩트한 사이즈의 스마트폰 짐벌 벤로 3XL LITE를 사용하게 되었습니다. BENRO® X 3XS Lite 벤로 3XS LITE는 10만 원 초반 가격대에 만나볼 수 있는 가성비 스마트폰 짐벌입니다. 전용 앱을...
50,"게이밍스마트폰 레드매직 6R, 풀옵션의 오딘 : 발할라 라이징 즐기기",7일 전,"이제 스마트폰 게임도 PC못지않은 뛰어난 그래픽과 조작 등이 필요하게되면서 자연스럽게 고성능 게이밍스마트폰의 구매를 고려하시는 분들이 많아지고 있습니다. 과거 PC에만 국한되어왔었던 FPS, 롤플레잉게임은..."
51,스마트폰 빠르게 사용하기_폰 속도 느리다 싶을 때 새것처럼 만들기,어제,스마트폰이 사용할 수록 뭔가 느려지는 느낌 저만 그런가요. 심지어 저는 메모리가 512인데도... 그런데 갑자기 스마트폰을 빠르게 설정하는 방법을 알게 되어 정리해봅니다^^ 1. 개발자모드 켜기 설정-휴대전화 정보(맨...
52,스마트폰해킹 걱정되는 반복 생성 사진 5장 갤러리에서 삭제하는 법,2일 전,일주일 전부터 다운로드 받은 일이 없는데 사진 그림 5장이 스마트폰 갤러리에 저장되어 있더라구요. 원인이... 스마트폰해킹 걱정되는 반복 생성 사진 5장 갤러리에서 삭제하는 법 근데 이게 머선일 분명 갤러에서...
53,삼성스마트폰추천 많이들 하는 이유는 분명 있습니다,2021.08.15.,삼성스마트폰추천 많이들 하는 이유는 분명 있습니다 안녕하세요 여러분 세계 스마트폰 시장에서 절대 강자라는 소리를 들을 정도로 준수한 수준의 스마트폰을 생산 및 판매하는 업체가 우리나라 업체죠. 그래서 주변에서...
54,당진 서산 핸드폰 성지에서 맞춘 스마트폰,2021.08.05.,"당진 서산 핸드폰 성지 스마트폰에 관심이 많은 분들이라면 8월이면 슬슬 삼성이나 애플, 중국까지 새로운... 다양한 스마트폰들을 저렴하게 판매하고 있어 소개를 해드리려고 합니다 저같은 경우에는 여러 제품들을..."
55,네비용 스마트폰 추천,2021.08.10.,제목에는 간략한 질문내용 표시 사용기종 : 질문내용 : (구체적으로): 네비용 스마트폰 추천 부탁드립니다 ! LG G7 사용하고있는데 네비조차도 느리고 1시간 30분 정도에 배터리 다닳아용.... 생각하고있는건 홍미노트...
56,울산스마트폰복구 양산 쪽에서두요,5일 전,울산스마트폰복구 양산 쪽에서두요 살다 보면 억울할만한 일이 생기기도 하고 분쟁에 휘말릴 때도 있다곤... 울산스마트폰복구 카카오톡복구를 해야 했어요. 당시 연락기록이 전혀 남아있지 않고 그 사건과 관련된...
57,갤럭시S20 FE 가격 KT 공짜 스마트폰 살펴보기,2021.05.25.,"갤럭시S20 FE는 정말 괜찮은 스마트폰이다. 가격도 저렴한데 성능까지도 괜찮기 때문이다. 그래서 가성비 스마트폰이라는 이야기도 들었는데, 이번 글에서는 삼성의 가성비 스마트폰 갤럭시S20 FE에 대한 이야기에 대해..."
58,여행을 위한 스마트폰 삼각대 구입 - 바소 스마트폰 삼각대,5일 전,바소 #스마트폰 #삼각대 #BASO #SmartPhone #Tripod 주문한 물건이 택배차를 타고 신나게 왔네요. 두둥 박스개봉. 제품명은 BS-304입니다. #BS-304 #BS304 택배상자 벗겨내니까 제품 포장이 보이네요. 정식명칭은 바소 스마트폰...
59,"파이오니아, 안드로이드 스마트폰으로도 고음질 캡쳐 할 수 있는 BD드라이브(번역)",5일 전,"파이오니아, 안드로이드 스마트폰으로도 고음질 캡쳐 할 수 있는 BD드라이브 야마자키 겐타로... Android용 음악 앱 「Wireless Hi-Res Player Stellanova」(무료)를 다운로드한 스마트폰과 BDR-X D08MB-S를 USB..."
