id,Species,Island,Clutch Completion,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Body Mass (g)
26,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.2,18.2,195,MALE,9.27158,-24.64335,4400
27,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.5,18.7,187,MALE,9.6895,-24.43062,3250
28,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,37.3,20.5,199,MALE,9.49645,-26.36678,3775
29,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,39.3,20.6,190,MALE,8.66496,-25.29805,3650
30,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,38.6,17.2,199,FEMALE,8.77322,-26.48973,3750
31,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,52.2,18.8,197,MALE,9.77528,-24.56481,3450
32,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,38.1,17.6,187,FEMALE,8.717,-25.77951,3425
33,Chinstrap penguin (Pygoscelis antarctica),Dream,No,46.5,17.9,192,FEMALE,9.03935,-24.30229,3500
34,Chinstrap penguin (Pygoscelis antarctica),Dream,No,50,19.5,196,MALE,8.92069,-24.23592,3900
35,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.6,15,216,MALE,8.26548,-26.7699,4750
36,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.1,14.5,215,FEMALE,7.6322,-25.46569,5000
37,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,55.1,16,230,MALE,8.08354,-26.18161,5850
38,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,33.5,19,190,FEMALE,7.88863,-26.63085,3600
39,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,39.6,18.8,190,MALE,9.49106,-24.10255,4600
40,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,44.4,17.3,219,MALE,8.13746,-26.79093,5250
41,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,41.3,20.3,194,MALE,9.14863,-26.09635,3550
42,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.3,19.5,190,MALE,8.57087,-26.22227,3800
43,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,39.2,21.1,196,MALE,9.15308,-25.03469,4150
44,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,35.3,18.9,187,FEMALE,9.21292,-24.3613,3800
45,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.4,14.6,211,FEMALE,8.24515,-25.46782,4800
46,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,40.2,17.1,193,FEMALE,9.2881,-25.54976,3400
47,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,41,20,203,MALE,9.01079,-26.38085,4725
48,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.3,14,208,FEMALE,8.4207,-26.38092,4575
49,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,53.4,15.8,219,MALE,8.41017,-26.33867,5500
50,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,45.8,18.9,197,MALE,8.18658,-26.45978,4150
51,Chinstrap penguin (Pygoscelis antarctica),Dream,No,43.5,18.1,202,FEMALE,9.37608,-24.40753,3400
52,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,42.9,17.6,196,MALE,8.63259,-26.23027,4700
53,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,46.6,17.8,193,FEMALE,8.95063,-24.59897,3800
54,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.4,19,201,MALE,9.43782,-24.36202,3950
55,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.5,15.9,222,MALE,8.46894,-26.60436,5550
56,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49,19.5,210,MALE,9.53262,-24.66867,3950
57,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,42.4,17.3,181,FEMALE,9.35138,-24.6879,3600
58,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,37.2,19.4,184,MALE,8.3554,-26.44787,3900
59,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,51.1,16.3,220,MALE,8.40327,-26.76821,6000
60,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,47.5,15,218,FEMALE,8.29671,-26.08547,4950
61,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.5,15,219,FEMALE,8.10231,-26.18763,4850
62,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,40.7,17,190,MALE,9.05674,-25.79529,3725
63,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.2,18.7,198,FEMALE,9.39305,-24.25255,3775
64,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,37.8,20,190,MALE,9.51929,-25.69199,4250
65,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,35.5,16.2,195,FEMALE,8.56192,-25.95541,3350
66,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,54.3,15.7,231,MALE,8.49662,-26.84166,5650
67,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.2,15.2,221,MALE,8.27376,-25.00169,6300
68,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,37.8,18.3,174,FEMALE,8.73762,-25.09383,3400
69,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50,15.9,224,MALE,8.20042,-26.39677,5350
70,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.2,14.4,214,,8.24253,-26.8154,4650
71,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.4,15,216,FEMALE,8.47938,-26.9547,4700
72,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.1,13.2,211,FEMALE,7.993,-25.5139,4500
73,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.6,13.9,217,FEMALE,8.27141,-26.7765,4900
74,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.9,18.6,189,FEMALE,8.59147,-26.08165,3500
75,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,52.1,17,230,MALE,8.27595,-26.11657,5550
76,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,45.2,17.8,198,FEMALE,8.88942,-24.49433,3950
77,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,42.5,17.3,187,FEMALE,9.56534,-24.60882,3350
78,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,52.2,17.1,228,MALE,8.36701,-25.89834,5400
79,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,36.2,16.1,187,FEMALE,7.82381,-26.51382,3550
80,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,39.7,18.4,190,MALE,9.29808,-25.23453,3900
81,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,37.2,18.1,178,MALE,9.72764,-25.0102,3900
82,Chinstrap penguin (Pygoscelis antarctica),Dream,No,53.5,19.9,205,MALE,10.02544,-24.90816,4500
83,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,41.7,14.7,210,FEMALE,8.12311,-26.44815,4700
84,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,42.8,14.2,209,FEMALE,7.63452,-25.46327,4700
85,Gentoo penguin (Pygoscelis papua),Biscoe,No,49,16.1,216,MALE,8.10417,-25.50562,5550
86,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,46.2,17.5,187,FEMALE,9.61734,-24.66188,3650
87,Adelie Penguin (Pygoscelis adeliae),Dream,No,37.6,19.3,181,FEMALE,9.41131,-25.04169,3300
88,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,40.9,16.8,191,FEMALE,8.47257,-26.02002,3700
89,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,44.9,13.3,213,FEMALE,8.45167,-26.89644,5100
90,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,42.2,18.5,180,FEMALE,8.04787,-25.49523,3550
91,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,42.7,18.3,196,MALE,8.91434,-26.42018,4075
92,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.2,14.8,212,FEMALE,8.24246,-26.11969,5200
93,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,42,13.5,210,FEMALE,7.63884,-25.52627,4150
94,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.8,15.7,226,MALE,8.27102,-26.11244,5200
95,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45,15.4,220,MALE,8.63488,-26.75621,5050
96,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.6,16,230,MALE,8.5964,-26.71199,5800
97,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,37,16.9,185,FEMALE,9.36392,-25.01745,3000
98,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.1,15,228,MALE,8.65914,-25.79203,5500
99,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.2,14.1,217,FEMALE,8.30231,-25.96013,4375
100,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,47.4,14.6,212,FEMALE,8.19101,-26.24369,4725
101,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.7,14.1,210,FEMALE,8.14705,-25.46172,4450
102,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.9,17.9,196,FEMALE,9.43684,-24.16566,3675
103,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.7,15.7,208,MALE,8.14776,-26.84506,5350
104,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.4,15.6,221,MALE,8.35078,-26.70783,5000
105,Chinstrap penguin (Pygoscelis antarctica),Dream,No,52,19,197,MALE,9.36799,-24.47142,4150
106,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.5,15,220,MALE,8.63604,-26.7489,5000
107,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,46.8,16.5,189,FEMALE,9.65061,-24.48153,3650
108,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49,19.6,212,MALE,9.34089,-24.45189,4300
109,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,36.6,17.8,185,FEMALE,,,3700
110,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,39.2,18.6,190,MALE,9.11006,-25.79549,4250
111,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,43.2,18.5,192,MALE,8.97025,-26.03679,4100
112,Chinstrap penguin (Pygoscelis antarctica),Dream,No,46.9,16.6,192,FEMALE,9.80589,-24.73735,2700
113,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.8,17.3,228,MALE,8.27428,-26.30019,5600
