"시군구/성/연령(5세)별 주민등록연앙인구"

"C행정구역(시군구)별","행정구역(시군구)별","C성별","성별","C연령별","연령별","시점","주민등록연앙인구 (명)"
'00,"전국",'2,"여자",'370,"85세 이상",2020,570399.0000
'00,"전국",'2,"여자",'380,"85 - 89세",2020,386196.5000
'00,"전국",'2,"여자",'410,"90 - 94세",2020,145942.0000
'00,"전국",'2,"여자",'430,"95 - 99세",2020,33317.5000
'00,"전국",'2,"여자",'440,"100세 이상",2020,4943.0000
'11,"서울특별시",'0,"계",'000,"계",2020,9533412.0000
'11,"서울특별시",'0,"계",'020,"0 - 4세",2020,285507.0000
'11,"서울특별시",'0,"계",'050,"5 - 9세",2020,356875.5000
'11,"서울특별시",'0,"계",'070,"10 - 14세",2020,369850.5000
'11,"서울특별시",'0,"계",'100,"15 - 19세",2020,427350.0000
'11,"서울특별시",'0,"계",'120,"20 - 24세",2020,631877.5000
'11,"서울특별시",'0,"계",'130,"25 - 29세",2020,816546.0000
'11,"서울특별시",'0,"계",'150,"30 - 34세",2020,719526.0000
'11,"서울특별시",'0,"계",'160,"35 - 39세",2020,756788.0000
'11,"서울특별시",'0,"계",'180,"40 - 44세",2020,714459.0000
'11,"서울특별시",'0,"계",'190,"45 - 49세",2020,801398.5000
'11,"서울특별시",'0,"계",'210,"50 - 54세",2020,762279.5000
'11,"서울특별시",'0,"계",'230,"55 - 59세",2020,732788.0000
'11,"서울특별시",'0,"계",'260,"60 - 64세",2020,689251.0000
'11,"서울특별시",'0,"계",'280,"65 - 69세",2020,496050.0000
'11,"서울특별시",'0,"계",'310,"70 - 74세",2020,385833.5000
'11,"서울특별시",'0,"계",'330,"75 - 79세",2020,289716.5000
'11,"서울특별시",'0,"계",'340,"80세 이상",2020,297315.5000
'11,"서울특별시",'0,"계",'360,"80 - 84세",2020,178205.5000
'11,"서울특별시",'0,"계",'370,"85세 이상",2020,119110.0000
'11,"서울특별시",'0,"계",'380,"85 - 89세",2020,81871.5000
'11,"서울특별시",'0,"계",'410,"90 - 94세",2020,29509.5000
'11,"서울특별시",'0,"계",'430,"95 - 99세",2020,6768.5000
'11,"서울특별시",'0,"계",'440,"100세 이상",2020,960.5000
'11,"서울특별시",'1,"남자",'000,"계",2020,4642652.5000
'11,"서울특별시",'1,"남자",'020,"0 - 4세",2020,146911.5000
'11,"서울특별시",'1,"남자",'050,"5 - 9세",2020,182973.5000
'11,"서울특별시",'1,"남자",'070,"10 - 14세",2020,190280.5000
'11,"서울특별시",'1,"남자",'100,"15 - 19세",2020,219320.5000
'11,"서울특별시",'1,"남자",'120,"20 - 24세",2020,303775.5000
'11,"서울특별시",'1,"남자",'130,"25 - 29세",2020,402080.5000
'11,"서울특별시",'1,"남자",'150,"30 - 34세",2020,359044.5000
'11,"서울특별시",'1,"남자",'160,"35 - 39세",2020,379352.5000
'11,"서울특별시",'1,"남자",'180,"40 - 44세",2020,353614.0000
'11,"서울특별시",'1,"남자",'190,"45 - 49세",2020,396805.5000
'11,"서울특별시",'1,"남자",'210,"50 - 54세",2020,375169.0000
'11,"서울특별시",'1,"남자",'230,"55 - 59세",2020,356333.0000
'11,"서울특별시",'1,"남자",'260,"60 - 64세",2020,326997.0000
'11,"서울특별시",'1,"남자",'280,"65 - 69세",2020,233225.0000
'11,"서울특별시",'1,"남자",'310,"70 - 74세",2020,177616.0000
'11,"서울특별시",'1,"남자",'330,"75 - 79세",2020,130497.5000
'11,"서울특별시",'1,"남자",'340,"80세 이상",2020,108656.5000
'11,"서울특별시",'1,"남자",'360,"80 - 84세",2020,72557.5000
'11,"서울특별시",'1,"남자",'370,"85세 이상",2020,36099.0000
'11,"서울특별시",'1,"남자",'380,"85 - 89세",2020,26993.0000
'11,"서울특별시",'1,"남자",'410,"90 - 94세",2020,7378.5000
'11,"서울특별시",'1,"남자",'430,"95 - 99세",2020,1550.0000
'11,"서울특별시",'1,"남자",'440,"100세 이상",2020,177.5000
'11,"서울특별시",'2,"여자",'000,"계",2020,4890759.5000
'11,"서울특별시",'2,"여자",'020,"0 - 4세",2020,138595.5000
'11,"서울특별시",'2,"여자",'050,"5 - 9세",2020,173902.0000
'11,"서울특별시",'2,"여자",'070,"10 - 14세",2020,179570.0000
'11,"서울특별시",'2,"여자",'100,"15 - 19세",2020,208029.5000
'11,"서울특별시",'2,"여자",'120,"20 - 24세",2020,328102.0000
'11,"서울특별시",'2,"여자",'130,"25 - 29세",2020,414465.5000
'11,"서울특별시",'2,"여자",'150,"30 - 34세",2020,360481.5000
'11,"서울특별시",'2,"여자",'160,"35 - 39세",2020,377435.5000
'11,"서울특별시",'2,"여자",'180,"40 - 44세",2020,360845.0000
'11,"서울특별시",'2,"여자",'190,"45 - 49세",2020,404593.0000
'11,"서울특별시",'2,"여자",'210,"50 - 54세",2020,387110.5000
'11,"서울특별시",'2,"여자",'230,"55 - 59세",2020,376455.0000
'11,"서울특별시",'2,"여자",'260,"60 - 64세",2020,362254.0000
'11,"서울특별시",'2,"여자",'280,"65 - 69세",2020,262825.0000
'11,"서울특별시",'2,"여자",'310,"70 - 74세",2020,208217.5000
'11,"서울특별시",'2,"여자",'330,"75 - 79세",2020,159219.0000
'11,"서울특별시",'2,"여자",'340,"80세 이상",2020,188659.0000
'11,"서울특별시",'2,"여자",'360,"80 - 84세",2020,105648.0000
'11,"서울특별시",'2,"여자",'370,"85세 이상",2020,83011.0000
'11,"서울특별시",'2,"여자",'380,"85 - 89세",2020,54878.5000
'11,"서울특별시",'2,"여자",'410,"90 - 94세",2020,22131.0000
'11,"서울특별시",'2,"여자",'430,"95 - 99세",2020,5218.5000
'11,"서울특별시",'2,"여자",'440,"100세 이상",2020,783.0000
'11010," 종로구",'0,"계",'000,"계",2020,144865.5000
'11010," 종로구",'0,"계",'020,"0 - 4세",2020,3309.0000
'11010," 종로구",'0,"계",'050,"5 - 9세",2020,4548.5000
'11010," 종로구",'0,"계",'070,"10 - 14세",2020,5120.0000
'11010," 종로구",'0,"계",'100,"15 - 19세",2020,6181.5000
'11010," 종로구",'0,"계",'120,"20 - 24세",2020,10602.0000
'11010," 종로구",'0,"계",'130,"25 - 29세",2020,12667.5000
'11010," 종로구",'0,"계",'150,"30 - 34세",2020,9995.0000
'11010," 종로구",'0,"계",'160,"35 - 39세",2020,9795.5000
'11010," 종로구",'0,"계",'180,"40 - 44세",2020,9649.5000
'11010," 종로구",'0,"계",'190,"45 - 49세",2020,12221.0000
'11010," 종로구",'0,"계",'210,"50 - 54세",2020,12286.5000
'11010," 종로구",'0,"계",'230,"55 - 59세",2020,12160.0000
'11010," 종로구",'0,"계",'260,"60 - 64세",2020,10734.5000
'11010," 종로구",'0,"계",'280,"65 - 69세",2020,7636.5000
'11010," 종로구",'0,"계",'310,"70 - 74세",2020,6244.5000
'11010," 종로구",'0,"계",'330,"75 - 79세",2020,5449.5000
'11010," 종로구",'0,"계",'340,"80세 이상",2020,6264.5000
'11010," 종로구",'0,"계",'360,"80 - 84세",2020,3682.0000
'11010," 종로구",'0,"계",'370,"85세 이상",2020,2582.5000
'11010," 종로구",'0,"계",'380,"85 - 89세",2020,1748.5000
'11010," 종로구",'0,"계",'410,"90 - 94세",2020,639.0000
'11010," 종로구",'0,"계",'430,"95 - 99세",2020,169.0000
'11010," 종로구",'0,"계",'440,"100세 이상",2020,26.0000
'11010," 종로구",'1,"남자",'000,"계",2020,70612.5000
'11010," 종로구",'1,"남자",'020,"0 - 4세",2020,1668.0000
'11010," 종로구",'1,"남자",'050,"5 - 9세",2020,2296.5000
'11010," 종로구",'1,"남자",'070,"10 - 14세",2020,2575.0000
'11010," 종로구",'1,"남자",'100,"15 - 19세",2020,3098.5000
'11010," 종로구",'1,"남자",'120,"20 - 24세",2020,4975.5000
'11010," 종로구",'1,"남자",'130,"25 - 29세",2020,6526.0000
'11010," 종로구",'1,"남자",'150,"30 - 34세",2020,5004.5000
'11010," 종로구",'1,"남자",'160,"35 - 39세",2020,4820.0000
'11010," 종로구",'1,"남자",'180,"40 - 44세",2020,4635.5000
'11010," 종로구",'1,"남자",'190,"45 - 49세",2020,5993.0000
'11010," 종로구",'1,"남자",'210,"50 - 54세",2020,6072.0000
'11010," 종로구",'1,"남자",'230,"55 - 59세",2020,6179.5000
'11010," 종로구",'1,"남자",'260,"60 - 64세",2020,5409.0000
'11010," 종로구",'1,"남자",'280,"65 - 69세",2020,3743.5000
'11010," 종로구",'1,"남자",'310,"70 - 74세",2020,2842.0000
'11010," 종로구",'1,"남자",'330,"75 - 79세",2020,2368.5000
'11010," 종로구",'1,"남자",'340,"80세 이상",2020,2405.5000
'11010," 종로구",'1,"남자",'360,"80 - 84세",2020,1517.0000
'11010," 종로구",'1,"남자",'370,"85세 이상",2020,888.5000
'11010," 종로구",'1,"남자",'380,"85 - 89세",2020,642.0000
'11010," 종로구",'1,"남자",'410,"90 - 94세",2020,188.5000
'11010," 종로구",'1,"남자",'430,"95 - 99세",2020,52.0000
'11010," 종로구",'1,"남자",'440,"100세 이상",2020,6.0000
'11010," 종로구",'2,"여자",'000,"계",2020,74253.0000
'11010," 종로구",'2,"여자",'020,"0 - 4세",2020,1641.0000
'11010," 종로구",'2,"여자",'050,"5 - 9세",2020,2252.0000
'11010," 종로구",'2,"여자",'070,"10 - 14세",2020,2545.0000
'11010," 종로구",'2,"여자",'100,"15 - 19세",2020,3083.0000
'11010," 종로구",'2,"여자",'120,"20 - 24세",2020,5626.5000
'11010," 종로구",'2,"여자",'130,"25 - 29세",2020,6141.5000
'11010," 종로구",'2,"여자",'150,"30 - 34세",2020,4990.5000
'11010," 종로구",'2,"여자",'160,"35 - 39세",2020,4975.5000
'11010," 종로구",'2,"여자",'180,"40 - 44세",2020,5014.0000
'11010," 종로구",'2,"여자",'190,"45 - 49세",2020,6228.0000
'11010," 종로구",'2,"여자",'210,"50 - 54세",2020,6214.5000
'11010," 종로구",'2,"여자",'230,"55 - 59세",2020,5980.5000
'11010," 종로구",'2,"여자",'260,"60 - 64세",2020,5325.5000
'11010," 종로구",'2,"여자",'280,"65 - 69세",2020,3893.0000
'11010," 종로구",'2,"여자",'310,"70 - 74세",2020,3402.5000
'11010," 종로구",'2,"여자",'330,"75 - 79세",2020,3081.0000
'11010," 종로구",'2,"여자",'340,"80세 이상",2020,3859.0000
'11010," 종로구",'2,"여자",'360,"80 - 84세",2020,2165.0000
'11010," 종로구",'2,"여자",'370,"85세 이상",2020,1694.0000
'11010," 종로구",'2,"여자",'380,"85 - 89세",2020,1106.5000
'11010," 종로구",'2,"여자",'410,"90 - 94세",2020,450.5000
'11010," 종로구",'2,"여자",'430,"95 - 99세",2020,117.0000
'11010," 종로구",'2,"여자",'440,"100세 이상",2020,20.0000
'11020," 중구",'0,"계",'000,"계",2020,121519.5000
'11020," 중구",'0,"계",'020,"0 - 4세",2020,3482.5000
'11020," 중구",'0,"계",'050,"5 - 9세",2020,3611.0000
'11020," 중구",'0,"계",'070,"10 - 14세",2020,3092.5000
'11020," 중구",'0,"계",'100,"15 - 19세",2020,3869.0000
'11020," 중구",'0,"계",'120,"20 - 24세",2020,7605.0000
'11020," 중구",'0,"계",'130,"25 - 29세",2020,10768.0000
'11020," 중구",'0,"계",'150,"30 - 34세",2020,10031.0000
'11020," 중구",'0,"계",'160,"35 - 39세",2020,10051.0000
'11020," 중구",'0,"계",'180,"40 - 44세",2020,8464.5000
'11020," 중구",'0,"계",'190,"45 - 49세",2020,9184.0000
'11020," 중구",'0,"계",'210,"50 - 54세",2020,9864.0000
'11020," 중구",'0,"계",'230,"55 - 59세",2020,10108.0000
'11020," 중구",'0,"계",'260,"60 - 64세",2020,9512.0000
'11020," 중구",'0,"계",'280,"65 - 69세",2020,6871.5000
'11020," 중구",'0,"계",'310,"70 - 74세",2020,5474.5000
'11020," 중구",'0,"계",'330,"75 - 79세",2020,4501.0000
'11020," 중구",'0,"계",'340,"80세 이상",2020,5030.0000
'11020," 중구",'0,"계",'360,"80 - 84세",2020,2904.0000
'11020," 중구",'0,"계",'370,"85세 이상",2020,2126.0000
'11020," 중구",'0,"계",'380,"85 - 89세",2020,1428.5000
'11020," 중구",'0,"계",'410,"90 - 94세",2020,557.5000
'11020," 중구",'0,"계",'430,"95 - 99세",2020,124.0000
'11020," 중구",'0,"계",'440,"100세 이상",2020,16.0000
'11020," 중구",'1,"남자",'000,"계",2020,59535.5000
'11020," 중구",'1,"남자",'020,"0 - 4세",2020,1771.5000
'11020," 중구",'1,"남자",'050,"5 - 9세",2020,1851.5000
'11020," 중구",'1,"남자",'070,"10 - 14세",2020,1550.0000
'11020," 중구",'1,"남자",'100,"15 - 19세",2020,1975.5000
'11020," 중구",'1,"남자",'120,"20 - 24세",2020,3543.0000
'11020," 중구",'1,"남자",'130,"25 - 29세",2020,5289.0000
'11020," 중구",'1,"남자",'150,"30 - 34세",2020,4981.0000
'11020," 중구",'1,"남자",'160,"35 - 39세",2020,5050.5000
'11020," 중구",'1,"남자",'180,"40 - 44세",2020,4375.5000
'11020," 중구",'1,"남자",'190,"45 - 49세",2020,4635.5000
'11020," 중구",'1,"남자",'210,"50 - 54세",2020,5004.5000
'11020," 중구",'1,"남자",'230,"55 - 59세",2020,5127.0000
'11020," 중구",'1,"남자",'260,"60 - 64세",2020,4782.0000
'11020," 중구",'1,"남자",'280,"65 - 69세",2020,3379.5000
'11020," 중구",'1,"남자",'310,"70 - 74세",2020,2523.0000
'11020," 중구",'1,"남자",'330,"75 - 79세",2020,1942.5000
'11020," 중구",'1,"남자",'340,"80세 이상",2020,1754.0000
'11020," 중구",'1,"남자",'360,"80 - 84세",2020,1125.0000
'11020," 중구",'1,"남자",'370,"85세 이상",2020,629.0000
'11020," 중구",'1,"남자",'380,"85 - 89세",2020,438.5000
'11020," 중구",'1,"남자",'410,"90 - 94세",2020,153.0000
'11020," 중구",'1,"남자",'430,"95 - 99세",2020,32.0000
'11020," 중구",'1,"남자",'440,"100세 이상",2020,5.5000
'11020," 중구",'2,"여자",'000,"계",2020,61984.0000
'11020," 중구",'2,"여자",'020,"0 - 4세",2020,1711.0000
'11020," 중구",'2,"여자",'050,"5 - 9세",2020,1759.5000
'11020," 중구",'2,"여자",'070,"10 - 14세",2020,1542.5000
'11020," 중구",'2,"여자",'100,"15 - 19세",2020,1893.5000
'11020," 중구",'2,"여자",'120,"20 - 24세",2020,4062.0000
'11020," 중구",'2,"여자",'130,"25 - 29세",2020,5479.0000
'11020," 중구",'2,"여자",'150,"30 - 34세",2020,5050.0000
'11020," 중구",'2,"여자",'160,"35 - 39세",2020,5000.5000
'11020," 중구",'2,"여자",'180,"40 - 44세",2020,4089.0000
'11020," 중구",'2,"여자",'190,"45 - 49세",2020,4548.5000
'11020," 중구",'2,"여자",'210,"50 - 54세",2020,4859.5000
'11020," 중구",'2,"여자",'230,"55 - 59세",2020,4981.0000
'11020," 중구",'2,"여자",'260,"60 - 64세",2020,4730.0000
'11020," 중구",'2,"여자",'280,"65 - 69세",2020,3492.0000
'11020," 중구",'2,"여자",'310,"70 - 74세",2020,2951.5000
'11020," 중구",'2,"여자",'330,"75 - 79세",2020,2558.5000
'11020," 중구",'2,"여자",'340,"80세 이상",2020,3276.0000
'11020," 중구",'2,"여자",'360,"80 - 84세",2020,1779.0000
'11020," 중구",'2,"여자",'370,"85세 이상",2020,1497.0000
'11020," 중구",'2,"여자",'380,"85 - 89세",2020,990.0000
'11020," 중구",'2,"여자",'410,"90 - 94세",2020,404.5000
'11020," 중구",'2,"여자",'430,"95 - 99세",2020,92.0000
'11020," 중구",'2,"여자",'440,"100세 이상",2020,10.5000
'11030," 용산구",'0,"계",'000,"계",2020,219403.5000
'11030," 용산구",'0,"계",'020,"0 - 4세",2020,6548.0000
'11030," 용산구",'0,"계",'050,"5 - 9세",2020,7215.5000
'11030," 용산구",'0,"계",'070,"10 - 14세",2020,7168.0000
'11030," 용산구",'0,"계",'100,"15 - 19세",2020,8648.0000
'11030," 용산구",'0,"계",'120,"20 - 24세",2020,13540.0000
'11030," 용산구",'0,"계",'130,"25 - 29세",2020,19187.0000
'11030," 용산구",'0,"계",'150,"30 - 34세",2020,18518.5000
'11030," 용산구",'0,"계",'160,"35 - 39세",2020,18787.5000
'11030," 용산구",'0,"계",'180,"40 - 44세",2020,16188.0000
'11030," 용산구",'0,"계",'190,"45 - 49세",2020,18255.0000
'11030," 용산구",'0,"계",'210,"50 - 54세",2020,17807.5000
'11030," 용산구",'0,"계",'230,"55 - 59세",2020,16916.0000
'11030," 용산구",'0,"계",'260,"60 - 64세",2020,15451.5000
'11030," 용산구",'0,"계",'280,"65 - 69세",2020,10694.0000
'11030," 용산구",'0,"계",'310,"70 - 74세",2020,8500.0000
'11030," 용산구",'0,"계",'330,"75 - 79세",2020,7238.0000
'11030," 용산구",'0,"계",'340,"80세 이상",2020,8741.0000
'11030," 용산구",'0,"계",'360,"80 - 84세",2020,5101.5000
'11030," 용산구",'0,"계",'370,"85세 이상",2020,3639.5000
'11030," 용산구",'0,"계",'380,"85 - 89세",2020,2464.0000
'11030," 용산구",'0,"계",'410,"90 - 94세",2020,904.0000
'11030," 용산구",'0,"계",'430,"95 - 99세",2020,238.0000
'11030," 용산구",'0,"계",'440,"100세 이상",2020,33.5000
'11030," 용산구",'1,"남자",'000,"계",2020,106237.0000
'11030," 용산구",'1,"남자",'020,"0 - 4세",2020,3392.5000
'11030," 용산구",'1,"남자",'050,"5 - 9세",2020,3724.5000
'11030," 용산구",'1,"남자",'070,"10 - 14세",2020,3611.0000
'11030," 용산구",'1,"남자",'100,"15 - 19세",2020,4453.0000
'11030," 용산구",'1,"남자",'120,"20 - 24세",2020,6360.5000
'11030," 용산구",'1,"남자",'130,"25 - 29세",2020,9327.5000
'11030," 용산구",'1,"남자",'150,"30 - 34세",2020,9239.0000
'11030," 용산구",'1,"남자",'160,"35 - 39세",2020,9404.5000
'11030," 용산구",'1,"남자",'180,"40 - 44세",2020,7951.0000
'11030," 용산구",'1,"남자",'190,"45 - 49세",2020,8970.5000
'11030," 용산구",'1,"남자",'210,"50 - 54세",2020,8800.0000
'11030," 용산구",'1,"남자",'230,"55 - 59세",2020,8404.0000
'11030," 용산구",'1,"남자",'260,"60 - 64세",2020,7544.5000
'11030," 용산구",'1,"남자",'280,"65 - 69세",2020,5085.0000
'11030," 용산구",'1,"남자",'310,"70 - 74세",2020,3809.0000
'11030," 용산구",'1,"남자",'330,"75 - 79세",2020,3056.0000
'11030," 용산구",'1,"남자",'340,"80세 이상",2020,3104.5000
'11030," 용산구",'1,"남자",'360,"80 - 84세",2020,1949.5000
'11030," 용산구",'1,"남자",'370,"85세 이상",2020,1155.0000
'11030," 용산구",'1,"남자",'380,"85 - 89세",2020,846.0000
'11030," 용산구",'1,"남자",'410,"90 - 94세",2020,229.0000
'11030," 용산구",'1,"남자",'430,"95 - 99세",2020,74.0000
'11030," 용산구",'1,"남자",'440,"100세 이상",2020,6.0000
'11030," 용산구",'2,"여자",'000,"계",2020,113166.5000
'11030," 용산구",'2,"여자",'020,"0 - 4세",2020,3155.5000
'11030," 용산구",'2,"여자",'050,"5 - 9세",2020,3491.0000
'11030," 용산구",'2,"여자",'070,"10 - 14세",2020,3557.0000
'11030," 용산구",'2,"여자",'100,"15 - 19세",2020,4195.0000
'11030," 용산구",'2,"여자",'120,"20 - 24세",2020,7179.5000
'11030," 용산구",'2,"여자",'130,"25 - 29세",2020,9859.5000
'11030," 용산구",'2,"여자",'150,"30 - 34세",2020,9279.5000
'11030," 용산구",'2,"여자",'160,"35 - 39세",2020,9383.0000
'11030," 용산구",'2,"여자",'180,"40 - 44세",2020,8237.0000
'11030," 용산구",'2,"여자",'190,"45 - 49세",2020,9284.5000
'11030," 용산구",'2,"여자",'210,"50 - 54세",2020,9007.5000
'11030," 용산구",'2,"여자",'230,"55 - 59세",2020,8512.0000
'11030," 용산구",'2,"여자",'260,"60 - 64세",2020,7907.0000
'11030," 용산구",'2,"여자",'280,"65 - 69세",2020,5609.0000
'11030," 용산구",'2,"여자",'310,"70 - 74세",2020,4691.0000
'11030," 용산구",'2,"여자",'330,"75 - 79세",2020,4182.0000
'11030," 용산구",'2,"여자",'340,"80세 이상",2020,5636.5000
'11030," 용산구",'2,"여자",'360,"80 - 84세",2020,3152.0000
'11030," 용산구",'2,"여자",'370,"85세 이상",2020,2484.5000
'11030," 용산구",'2,"여자",'380,"85 - 89세",2020,1618.0000
'11030," 용산구",'2,"여자",'410,"90 - 94세",2020,675.0000
'11030," 용산구",'2,"여자",'430,"95 - 99세",2020,164.0000
'11030," 용산구",'2,"여자",'440,"100세 이상",2020,27.5000
'11040," 성동구",'0,"계",'000,"계",2020,291841.0000
'11040," 성동구",'0,"계",'020,"0 - 4세",2020,10620.0000
'11040," 성동구",'0,"계",'050,"5 - 9세",2020,10584.5000
'11040," 성동구",'0,"계",'070,"10 - 14세",2020,9309.5000
'11040," 성동구",'0,"계",'100,"15 - 19세",2020,11202.5000
'11040," 성동구",'0,"계",'120,"20 - 24세",2020,19866.0000
'11040," 성동구",'0,"계",'130,"25 - 29세",2020,25368.0000
'11040," 성동구",'0,"계",'150,"30 - 34세",2020,23850.5000
'11040," 성동구",'0,"계",'160,"35 - 39세",2020,25563.0000
'11040," 성동구",'0,"계",'180,"40 - 44세",2020,21810.0000
'11040," 성동구",'0,"계",'190,"45 - 49세",2020,23377.5000
'11040," 성동구",'0,"계",'210,"50 - 54세",2020,23434.0000
'11040," 성동구",'0,"계",'230,"55 - 59세",2020,23143.0000
'11040," 성동구",'0,"계",'260,"60 - 64세",2020,20781.5000
'11040," 성동구",'0,"계",'280,"65 - 69세",2020,14024.5000
'11040," 성동구",'0,"계",'310,"70 - 74세",2020,11034.0000
'11040," 성동구",'0,"계",'330,"75 - 79세",2020,8844.5000
'11040," 성동구",'0,"계",'340,"80세 이상",2020,9028.0000
'11040," 성동구",'0,"계",'360,"80 - 84세",2020,5546.5000
'11040," 성동구",'0,"계",'370,"85세 이상",2020,3481.5000
'11040," 성동구",'0,"계",'380,"85 - 89세",2020,2455.0000
'11040," 성동구",'0,"계",'410,"90 - 94세",2020,821.0000
'11040," 성동구",'0,"계",'430,"95 - 99세",2020,178.0000
'11040," 성동구",'0,"계",'440,"100세 이상",2020,27.5000
'11040," 성동구",'1,"남자",'000,"계",2020,142673.0000
'11040," 성동구",'1,"남자",'020,"0 - 4세",2020,5462.0000
'11040," 성동구",'1,"남자",'050,"5 - 9세",2020,5381.5000
'11040," 성동구",'1,"남자",'070,"10 - 14세",2020,4734.5000
'11040," 성동구",'1,"남자",'100,"15 - 19세",2020,5521.0000
'11040," 성동구",'1,"남자",'120,"20 - 24세",2020,9628.0000
'11040," 성동구",'1,"남자",'130,"25 - 29세",2020,12760.0000
'11040," 성동구",'1,"남자",'150,"30 - 34세",2020,11445.0000
'11040," 성동구",'1,"남자",'160,"35 - 39세",2020,12877.0000
'11040," 성동구",'1,"남자",'180,"40 - 44세",2020,11091.5000
'11040," 성동구",'1,"남자",'190,"45 - 49세",2020,11583.0000
