순위,곡명,가수,앨범
125,너의 번호를 누르고 (Prod. by 영화처럼),#안녕,너의 번호를 누르고
126,마.피.아. In the morning,ITZY (있지),GUESS WHO
127,어떻게 지내 (Prod. by VAN.C),오반 (OVAN),어떻게 지내
128,난 너를 사랑해,MSG워너비,난 너를 사랑해
129,Leave Before You Love Me,Marshmello & Jonas Brothers,Leave Before You Love Me
130,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),/// (너 먹구름 비)
131,Bad Boy,청하 & Christopher,Bad Boy
132,Shape Of You,Ed Sheeran,÷ (Deluxe)
133,You can't sit with us,선미,6분의1
134,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
135,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
136,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
137,사실 나는 (Feat. 전건호),경서예지,사실 나는
138,FAKE LOVE,방탄소년단,LOVE YOURSELF 轉 'Tear'
139,마음을 드려요,아이유 (IU),사랑의 불시착 OST Part 11 (tvN 토일 드라마)
140,나보다 더 사랑해요,김호중,나보다 더 사랑해요
141,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
142,Ashes,Stellar,Ashes
143,밤하늘의 저 별처럼,헤이즈 (Heize) & 펀치 (Punch),밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙) (SBS 월화드라마)
144,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
145,Maniac,Conan Gray,Maniac
146,밤편지,아이유 (IU),밤편지
147,째깍 째깍 째깍 (With Beenzino),AKMU (악뮤),NEXT EPISODE
148,사랑과 전쟁 (Narr. 하하),다비치,Vivid Summer Edition (1st Amaranth Repackage Album)
149,내사람 : Partner For Life,SG워너비,The 3rd Masterpiece
150,다시 여기 바닷가,싹쓰리 (유두래곤 & 린다G & 비룡),다시 여기 바닷가
151,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
152,시작,가호 (Gaho),이태원 클라쓰 OST Part.2 (JTBC 금토드라마)
153,How You Like That,BLACKPINK,How You Like That
154,주저하는 연인들을 위해,잔나비,전설
155,Comethru,Jeremy Zucker,"Summer,"
156,불타오르네 (FIRE),방탄소년단,화양연화 Young Forever
157,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
158,All Falls Down (Feat. Juliander),Alan Walker & Noah Cyrus & Digital Farm Animals,Different World
159,너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수),케이시 (Kassy),너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수)
160,화려하지 않은 고백,규현 (KYUHYUN),슬기로운 의사생활 OST Part 4 (tvN 목요드라마)
161,Pushin' N Pullin',Red Velvet (레드벨벳),Queendom - The 6th Mini Album
162,Better Be,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
163,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
164,Stuck With U,Ariana Grande & Justin Bieber,Stuck with U
165,Square (2017),백예린 (Yerin Baek),Every letter I sent you.
166,너를 만나,폴킴,너를 만나
167,고맙소,김호중,내일은 미스터트롯 결승전 베스트
168,체념,MSG워너비 (정상동기),MSG워너비 TOP 8 경연곡
169,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons)
170,"다시, 여름 (Hello, Sunset)",Red Velvet (레드벨벳),Queendom - The 6th Mini Album
171,첫눈처럼 너에게 가겠다,에일리 (AILEE),도깨비 OST Part 9 (tvN 금토드라마)
172,On My Way,Alan Walker & Sabrina Carpenter & Farruko,On My Way
173,Black Mamba,aespa,Black Mamba
174,Way Back Home (2021),런치,Way Back Home (2021)
175,아무노래,지코 (ZICO),아무노래
176,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3 (tvN 토일드라마)
177,BENCH (With Zion.T),AKMU (악뮤),NEXT EPISODE
178,살았소,김호중,살았소
179,고백 (바른연애 길잡이 X 허각),허각,고백 (바른연애 길잡이 X 허각)
180,살다가,SG워너비,2집 살다가
181,Love poem,아이유 (IU),Love poem
182,Painkiller,Ruel,Painkiller
183,바다가 들린다 (Prod. by 니브 (NIve)),양다일,Ocean Waves with KozyPop
184,Mood (Feat. Iann Dior),24KGoldn,El Dorado
185,둘 중에 골라 (Summer or Summer),효린 & 다솜,둘 중에 골라 (Summer or Summer)
186,여름 쏙 (Popping),온앤오프 (ONF),SUMMER POPUP ALBUM (POPPING)
187,우산이 없어요,김호중,우리家
188,할무니,김호중,할무니
189,한여름밤의 꿀,San E & 레이나,한여름밤의 꿀
190,WE GO,프로미스나인,9 WAY TICKET
191,여행,볼빨간사춘기,Red Diary Page.2
192,도망가자 (Run With Me),선우정아,Serenade
193,해야 해,2PM,MUST
194,술 한잔 해요,경서 (경서예지) & MJ (써니사이드),술 한잔 해요
195,Stupid love song (With Crush),AKMU (악뮤),NEXT EPISODE
196,Downtown Baby,블루 (BLOO),Downtown Baby
197,노래방에서,장범준,장범준 3집
198,널 너무 모르고,헤이즈 (Heize),/// (너 먹구름 비)
199,"너에게 난, 나에게 넌",미도와 파라솔,슬기로운 의사생활 OST Part 12 (tvN 목요드라마)
200,Rose,디오 (D.O.),공감 - The 1st Mini Album
