index,송하인_격자공간고유번호,수하인_격자공간고유번호,물품_카테고리,운송장_건수
353,1111000025015300,5011000328026100,상의,5
354,5011000113015100,4413100147020200,농산물,3
355,5011000225030100,4825000421013400,농산물,3
356,4150000232082100,5013000823055100,클렌징,3
357,5011000316024300,4511100045065400,수산,8
358,5013000735004100,1129000012082100,농산물,3
359,5013000821028200,2823700015049100,농산물,3
360,4511300060053300,5013000529050300,공구,5
361,4148000699072200,5011000435096200,음반,4
362,5013000459099100,3023000021068400,농산물,41
363,5011000582021400,4719000587070400,축산,11
364,5013000610049100,4413300185007100,농산물,4
365,5013000731055200,4146300044017400,농산물,3
366,5011000135053200,1150000041060100,농산물,4
367,5011000078068400,2820000051042400,농산물,3
368,4150000184029400,5011000265066300,건강식품,7
369,3023000053033100,5013000823076300,생활용품,4
370,4519000626011100,5013000823023100,건강식품,3
371,5013000902094200,4831000262023300,농산물,5
372,5013000862067200,4111100032020300,농산물,3
373,5011000478099100,2647000007076400,농산물,3
374,4122000053068300,5011000319004300,상의,3
375,5011000213090100,3017000027004400,농산물,7
376,1153000017005200,5011000264082200,이미용가전,3
377,5013000821028200,2638000047095400,농산물,3
378,5011000078068400,4128100103097300,농산물,4
379,5011000137030100,4413100174058400,농산물,3
380,5013000610049100,1135000013009400,농산물,4
381,5013000731055200,1168000028010400,농산물,4
382,5013000866088100,4211000645060400,농산물,3
383,5013000823067300,4514000399007100,기타식품,3
384,5013000610049100,1162000002031200,농산물,3
385,4136000216029100,5013000871083200,반려동물,4
386,4148000690015300,5011000313086400,문화컨텐츠,3
387,5011001116066400,1111000020092300,농산물,6
388,5011000078068400,1141000012014400,농산물,3
389,4122000363057300,5013000933069300,가공식품,4
390,5013000827100200,4113500062040400,농산물,3
391,5013000354052200,4111700025049200,농산물,3
392,5013000610049100,1156000010089400,농산물,3
393,1141000019068300,5011000543041100,문화컨텐츠,4
394,5013000862067200,4577000123012300,농산물,7
395,5011000078068400,4121000004087200,농산물,3
396,5011000220067100,4571000613049300,농산물,3
397,5013000685046100,3011000052028400,농산물,6
398,5013000765096400,1121500013077300,농산물,3
399,5013000691060200,4812700062015200,농산물,3
400,3023000012008100,5011000113071400,음료,4
401,5013000731055200,4615000535054300,농산물,3
402,4148000690043300,5011000264045100,문화컨텐츠,8
403,1117000009058400,5011000378017100,기타디지털/가전,3
404,5013000308099400,4159000207077200,농산물,3
405,4217000002083400,5011000264063400,음료,4
406,2717000009070200,5011000215023100,공구,3
407,5011000312034400,4572000555073300,농산물,3
408,5013000812070200,4831000582046300,농산물,4
409,5011000315016300,4511100031059300,음료,4
410,5013000731055200,2714000163036300,농산물,3
411,5011000078068400,1153000012078100,농산물,3
412,5011000578016400,4889000527094200,농산물,6
413,4148000690015300,5011000173041200,문화컨텐츠,3
414,5013000845056400,4136000108061200,농산물,4
415,5013000777063100,4421000447052300,농산물,4
416,5013000610049100,1121500008094400,농산물,3
417,5011000078068400,4511100046013200,농산물,6
418,4155000526085200,5011000247030200,기타식품,3
419,2711000007067300,5011000264025100,등산,10
420,4113300018010300,5011000317043300,기타디지털/가전,13
421,5011000078068400,4782000374039200,농산물,4
422,5011001086004300,4127100018025200,농산물,4
423,5013000043028400,4113300010077400,농산물,8
424,1129000014045300,5011000372001300,상의,3
425,5011000213090100,1123000012004300,가공식품,3
426,5013000823060100,4420000284094300,농산물,3
427,5011000078068400,4719000420025300,농산물,4
428,4148000489065400,5011000779044300,문화컨텐츠,12
429,5013000870018300,2817000019075200,농산물,5
430,5011001060063300,4165000625092100,농산물,8
431,5011000316024300,2917000057083400,기타식품,10
432,5011000078068400,4155000404008400,농산물,3
433,5011000137030100,1141000008069400,농산물,5
434,5011000857010100,4717000819029200,농산물,4
435,5013000859023300,4161000093065100,농산물,3
436,5011000375010100,2811000173073100,농산물,7
437,4136000216029100,5011000768053100,반려동물,3
438,5011000213090100,4146500026003200,농산물,3
439,5011000078068400,4113100014020300,농산물,3
440,5011000078068400,1159000005099100,농산물,4
441,5013000610049100,4148000669073300,농산물,3
442,4817000530046200,5011000319094400,기타식품,3
443,5013000610049100,2711000003034200,농산물,3
444,5011000437099200,1120000014073200,농산물,13
445,5011000137030100,1123000015026400,농산물,5
446,1111000024080100,5011000428035200,인테리어소품,3
447,5011000437099200,2629000015049100,농산물,3
448,5013000926087300,2818500027086100,농산물,5
449,4150000199100200,5011000374091100,음료,4
450,5011000137030100,4812100162077200,농산물,4
451,5011000437099200,4146100310022400,농산물,3
452,4146100238100100,5013000861011400,반려동물,3
453,5011000078068400,4117300024027400,농산물,3
454,4159000429094300,5011000314090100,냉동/간편조리식품,3
455,5013000916011300,4719000605070400,농산물,4
456,5011000110079200,4825000136019200,농산물,3
457,5011000374071400,2818500023022100,농산물,3
458,5013000610049100,1165000011069200,농산물,4
459,5011001108036200,4146500024084200,농산물,4
460,4161000222087300,5011000108072300,건강식품,3
461,5011000078068400,2823700018030100,농산물,3
462,5011000137030100,2623000012071200,농산물,4
463,5011000078068400,4136000406036400,농산물,3
464,5013000610049100,1135000025073100,농산물,3
465,5011000078068400,4117300021079100,농산물,3
466,5011000078068400,4827000403080300,농산물,3
467,5013000946029100,4117300015071200,농산물,3
468,4113500009026300,5011000319006300,농산물,3
469,5011000312034400,4825000332023300,농산물,5
470,5013000610049100,1156000011099400,농산물,5
471,4141000031030100,5011000373098100,상의,5
472,1117000009079100,5013000823050300,모니터,3
473,5011000316024300,4511300049071300,수산,7
474,4415000063089300,5011000374015400,반려동물,4
475,5011000213090100,2623000022057400,농산물,3
476,1117000009070100,5011000371057300,PC,3
477,4115000046074100,5011000331012300,양말/스타킹,3
478,2729000028034300,5011000265088200,기타패션의류,3
479,5013000692034400,4145000020048200,농산물,3
480,4882000455079200,5011000287044200,수산,3
481,5011000316024300,4423000222018100,수산,5
482,4159000429094300,5013000414081200,과자,3
483,5013000610049100,4812100115068300,농산물,3
484,5011000078068400,1174000016047400,농산물,4
485,5013000610049100,1168000011046200,농산물,3
486,5011000436041400,4211000613042300,농산물,3
487,5013000316011400,2823700026021400,농산물,3
488,5011001012031100,2917000083084300,농산물,3
489,2826000136013300,5011000485040400,침구단품,3
490,2911000015001300,5011000486041300,의료용품,3
491,4122000307034200,5011000323039300,가공식품,7
492,5011000078068400,4215000398071200,농산물,3
493,1129000014045300,5011000314006300,스킨케어,8
494,4572000551006100,5011000262002400,과자,8
495,5013000731055200,3114000027007400,농산물,4
496,5011000316024300,4812900031023200,수산,4
497,5011000078068400,2824500033084300,농산물,3
498,5011000595017300,4146500024035400,음반,4
499,5013000610049100,1141000011024200,농산물,3
500,5011000078068400,1147000015009300,농산물,4
501,4148000690015300,5011000319045400,문화컨텐츠,3
502,5011000595017300,1168000014065300,음반,3
503,4729000212067200,5011000109087100,완구/매트,3
504,4421000420019300,5011000582032100,농산물,4
505,1168000012065400,5011000319002300,상의,3
506,2635000035072100,5013000926089200,상의,3
507,5013000733053400,4146300011009300,농산물,4
508,5013000610049100,4213000195031400,농산물,3
509,5013000610049100,1135000011082100,농산물,3
510,4148000690015300,5011000318066400,문화컨텐츠,14
511,5013000622057100,2826000040060200,농산물,4
512,4150000241045200,5011000318022100,건강식품,4
513,5011000374036400,4119500006010200,수산,5
514,5011000213090100,1111000024047200,농산물,3
515,5013000571016300,4812900136092100,농산물,3
516,5011000168089300,1168000008059300,수산,4
517,5011000424078200,1162000010014100,농산물,3
518,5013000731055200,4119500004077100,농산물,4
519,5011000595017300,1129000022037200,음반,3
520,4146100353086100,5011000376081300,가공식품,3
521,5013000821028200,4111100031049300,농산물,5
522,5013000902080400,4139000012075300,기타식품,11
523,5011000213090100,3171000394050300,농산물,3
524,5013000858004300,1123000013061100,농산물,3
525,5011000373038300,3171000663050100,농산물,7
526,5013000610049100,4128500057046200,농산물,3
527,4671000342031300,5011000418067400,과자,4
528,5011000078068400,4128700028096300,농산물,3
529,5013000812074300,2823700021094300,농산물,3
530,5011000224031300,4119700008082300,농산물,3
531,5013000909005400,4121000020049400,농산물,3
532,5011000078068400,2823700016008300,농산물,4
533,5013000827004200,4113100003052100,커튼/블라인드,3
534,5011000213090100,2726000005019300,농산물,4
535,5013000315018400,2714000160085100,농산물,11
536,5011000078068400,4146100137026400,농산물,4
537,4157000114095200,5013000866067200,주방용품,14
538,5013000734077100,4146100263016100,농산물,4
539,5011000137030100,1150000039079300,농산물,5
540,5011000435073100,3017000005074200,농산물,3
541,5011000078068400,2723000093056400,농산물,3
542,4136000216029100,5013000033045400,주방용품,3
543,5011000595017300,1129000024100400,음반,4
544,5013000856066200,4711300777030400,농산물,6
545,5013000610049100,2818500026079400,농산물,3
546,5013000734074400,4278000878010400,과자,3
547,5011000137030100,4117300022021400,농산물,3
548,4141000031030100,5013000861039200,헤어스타일링,3
549,4128100099061400,5011000466076300,주방가구,4
550,5011000078068400,1126000010062200,농산물,3
551,5011000078068400,4157000208065400,농산물,3
552,5013000731055200,4831000254007300,농산물,5
553,5011000424078200,2653000004041300,농산물,3
554,5013000610049100,4146300017026100,농산물,3
555,5011000078068400,3020000033015200,농산물,4
556,4719000507082100,5011000215072300,음료,5
557,5011000108092100,3171000319049200,농산물,4
558,5011000224031300,4127100037084400,농산물,17
559,5011000078068400,4833000321080400,농산물,3
560,5011000595017300,4311100058088200,음반,3
561,1111000023068400,5011000466086300,음료,9
562,1117000009037100,5011000318029400,기타디지털/가전,3
563,5013000817046300,4371000632096400,농산물,4
564,5013000610049100,1123000014037100,농산물,3
565,5013000624091200,2647000007037200,농산물,3
566,5011000272063400,1150000030006100,농산물,3
567,5011000078068400,4119700005048300,농산물,3
568,1165000014095200,5011000429031300,문화컨텐츠,4
569,4119900005091100,5013000867035400,아우터,6
570,5013000640023300,1150000023054400,농산물,3
571,5011000420060100,3117000061038100,농산물,4
572,5011000450085400,4111700014047300,수산,3
573,4146100378010300,5011000265082200,DIY자재/용품,5
574,5011000315071100,2626000004076300,문화컨텐츠,8
575,5011000078068400,4139000098003400,농산물,3
576,5011000078068400,4157000244057100,농산물,4
577,5011001095044400,4427000449055300,농산물,9
578,5013000777063100,4427000417063200,농산물,5
579,5011000313069200,3014000009010400,축산,13
580,5013000778022200,2723000036090400,농산물,3
581,4148000699072200,5011000596012200,음반,12
582,1135000009051200,5011000430016300,반려동물,3
583,4159000429094300,5011000319013400,냉동/간편조리식품,3
584,5013000610049100,3114000013034400,농산물,3
585,1126000005095200,5013000704053300,하의,3
586,5013000571017300,4159000256035400,농산물,3
587,5011000078068400,4423000193036300,농산물,3
588,5013000821028200,4812100182006300,농산물,3
589,5011000315059100,2820000013042300,농산물,3
590,5011000312034400,4139000094090300,농산물,13
591,4822000139060100,5011000173030300,수산,4
592,5013000731055200,4423000195100200,농산물,3
593,5013000731055200,4157000272059400,농산물,4
594,5013000858004400,4413300190034100,농산물,3
595,5011000315099400,4371000372086200,음료,17
596,5011000137030100,4812100116062300,농산물,3
597,1154500001021400,5011000372068400,건강식품,3
598,5011000424078200,2647000005059100,농산물,3
599,5011000137030100,1154500011016200,농산물,4
600,4146100403068100,5011000314093400,상의,3
601,1165000018027200,5011000377038300,기저귀/물티슈,3
602,4148000699072200,5011000372006200,문화컨텐츠,3
603,5011000078068400,4139000077084300,농산물,3
604,5013000043028400,2820000015002100,농산물,3
605,5011000078068400,4511100031001300,농산물,6
606,5013000866088100,4311100045095400,농산물,3
607,4161000243015400,5013000749036100,기타식품,3
608,1117000009037100,5011000319033100,기타디지털/가전,5
609,4136000379013400,5011000215060100,헤어액세서리,3
610,5011000315056100,4413300076034300,농산물,8
611,5011000595017300,1150000021057400,음반,3
612,1162000010003200,5013000581095300,기타식품,5
613,5011000349021200,4143000048059300,수산,3
614,5013000905030300,2720000007052300,농산물,3
615,5011000315056100,4413100124039300,농산물,5
616,5013000777063100,3611000390035400,농산물,4
617,4143000005077100,5011000265066100,기타디지털/가전,4
618,5011000078068400,3114000018008300,농산물,3
